species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_EA_105	0_pi_EA_206	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_EA_105	4_pi_EA_206	4_pi_between	4_pi_total
euphydryas_aurinia	TRINITY_DN4027_c0_g1(-)	aurinia.TRINITY_DN4027_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN4039_c0_g1(+)	aurinia.TRINITY_DN4039_c0_g1	NA	247	0	0	247	471	471	0	0	0	0	0.0	0.0	0.0	0.0	114	114	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN4052_c0_g1(-)	aurinia.TRINITY_DN4052_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN4079_c0_g1(+)	aurinia.TRINITY_DN4079_c0_g1	NA	3	0	0	3	5	5	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN4112_c0_g1(+)	aurinia.TRINITY_DN4112_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN4133_c0_g1(+)	aurinia.TRINITY_DN4133_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN4136_c0_g1(+)	aurinia.TRINITY_DN4136_c0_g1	NA	44	0	0	44	84	84	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN4170_c0_g1(-)	aurinia.TRINITY_DN4170_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN4303_c0_g1(+)	aurinia.TRINITY_DN4303_c0_g1	NA	111	0	0	111	207	207	0	0	0	0	0.0	0.0	0.0	0.0	39	39	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN4947_c0_g1(+)	aurinia.TRINITY_DN4947_c0_g1	NA	111	0	0	111	212	211	0	0	0	1	0.0	0.0	0.00471698	0.00314465	37	37	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN4994_c0_g1(-)	aurinia.TRINITY_DN4994_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN5282_c0_g1(-)	aurinia.TRINITY_DN5282_c0_g1	NA	9	0	0	9	19	19	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN5637_c0_g1(-)	aurinia.TRINITY_DN5637_c0_g1	NA	43	0	0	43	75	75	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN5654_c0_g1(+)	aurinia.TRINITY_DN5654_c0_g1	NA	23	0	0	23	48	48	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN6581_c1_g1(-)	aurinia.TRINITY_DN6581_c1_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN6675_c0_g1(-)	aurinia.TRINITY_DN6675_c0_g1	NA	30	0	0	30	56	54	1	1	0	0	0.01785714	0.01785714	0.01785714	0.01785714	10	10	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN6846_c0_g1(+)	aurinia.TRINITY_DN6846_c0_g1	NA	19	0	1	18	30	28	2	0	0	0	0.06666667	0.0	0.03333333	0.03333333	8	8	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN7015_c0_g1(+)	aurinia.TRINITY_DN7015_c0_g1	NA	18	0	0	18	34	34	0	0	0	0	0.0	0.0	0.0	0.0	12	11	1	0	0	0	0.08333333	0.0	0.04166667	0.04166667
euphydryas_aurinia	TRINITY_DN7088_c0_g1(+)	aurinia.TRINITY_DN7088_c0_g1	NA	9	0	0	9	17	17	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN8055_c0_g1(+)	aurinia.TRINITY_DN8055_c0_g1	NA	248	0	0	248	481	481	0	0	0	0	0.0	0.0	0.0	0.0	102	102	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN8199_c0_g1(-)	aurinia.TRINITY_DN8199_c0_g1	NA	4	0	0	4	7	7	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN8354_c0_g1(-)	aurinia.TRINITY_DN8354_c0_g1	NA	22	0	0	22	41	40	1	0	0	0	0.02439024	0.0	0.01219512	0.01219512	8	8	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN8508_c0_g1(+)	aurinia.TRINITY_DN8508_c0_g1	NA	783	0	0	783	1502	1501	0	1	0	0	0.0	0.00066578	0.00033289	0.00033289	263	261	0	2	0	0	0.0	0.00760456	0.00380228	0.00380228
euphydryas_aurinia	TRINITY_DN8615_c0_g1(+)	aurinia.TRINITY_DN8615_c0_g1	NA	398	0	0	398	781	781	0	0	0	0	0.0	0.0	0.0	0.0	149	148	1	0	0	0	0.00671141	0.0	0.0033557	0.0033557
euphydryas_aurinia	TRINITY_DN8707_c0_g1(+)	aurinia.TRINITY_DN8707_c0_g1	NA	5	0	0	5	8	8	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN8715_c0_g1(+)	aurinia.TRINITY_DN8715_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN8810_c0_g1(+)	aurinia.TRINITY_DN8810_c0_g1	NA	19	0	0	19	28	24	0	0	4	0	0.14285714	0.14285714	0.07142857	0.09523809	7	6	0	0	1	0	0.14285714	0.14285714	0.07142857	0.09523809
euphydryas_aurinia	TRINITY_DN8875_c0_g1(-)	aurinia.TRINITY_DN8875_c0_g1	NA	22	0	0	22	41	41	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9171_c0_g1(+)	aurinia.TRINITY_DN9171_c0_g1	OG0002661	585	0	0	585	1121	1121	0	0	0	0	0.0	0.0	0.0	0.0	206	205	1	0	0	0	0.00485437	0.0	0.00242718	0.00242718
euphydryas_aurinia	TRINITY_DN9239_c0_g1(+)	aurinia.TRINITY_DN9239_c0_g1	OG0001156	466	0	0	466	904	904	0	0	0	0	0.0	0.0	0.0	0.0	212	212	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9582_c0_g1(+)	aurinia.TRINITY_DN9582_c0_g1	NA	149	0	0	149	286	286	0	0	0	0	0.0	0.0	0.0	0.0	53	53	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9601_c0_g1(+)	aurinia.TRINITY_DN9601_c0_g1	NA	67	0	0	67	128	128	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9620_c0_g1(+)	aurinia.TRINITY_DN9620_c0_g1	NA	440	0	0	440	852	852	0	0	0	0	0.0	0.0	0.0	0.0	186	186	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9689_c0_g1(-)	aurinia.TRINITY_DN9689_c0_g1	NA	4	0	0	4	5	5	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN9775_c0_g1(+)	aurinia.TRINITY_DN9775_c0_g1	NA	155	0	0	155	297	297	0	0	0	0	0.0	0.0	0.0	0.0	64	64	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9777_c0_g1(+)	aurinia.TRINITY_DN9777_c0_g1	NA	150	0	0	150	287	287	0	0	0	0	0.0	0.0	0.0	0.0	67	67	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9890_c0_g1(+)	aurinia.TRINITY_DN9890_c0_g1	NA	64	0	0	64	118	118	0	0	0	0	0.0	0.0	0.0	0.0	23	22	1	0	0	0	0.04347826	0.0	0.02173913	0.02173913
euphydryas_aurinia	TRINITY_DN9919_c0_g1(+)	aurinia.TRINITY_DN9919_c0_g1	NA	57	0	0	57	107	107	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN9927_c0_g1(+)	aurinia.TRINITY_DN9927_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN9938_c0_g1(+)	aurinia.TRINITY_DN9938_c0_g1	NA	55	0	0	55	108	108	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10031_c0_g1(+)	aurinia.TRINITY_DN10031_c0_g1	NA	11	1	0	10	18	18	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10266_c0_g1(+)	aurinia.TRINITY_DN10266_c0_g1	NA	60	0	0	60	113	113	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10552_c0_g1(+)	aurinia.TRINITY_DN10552_c0_g1	NA	465	0	0	465	882	882	0	0	0	0	0.0	0.0	0.0	0.0	187	186	0	1	0	0	0.0	0.00534759	0.0026738	0.0026738
euphydryas_aurinia	TRINITY_DN10561_c0_g1(+)	aurinia.TRINITY_DN10561_c0_g1	NA	83	0	0	83	160	160	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10599_c0_g1(+)	aurinia.TRINITY_DN10599_c0_g1	NA	291	0	0	291	553	552	0	0	0	1	0.0	0.0	0.00180832	0.00120555	100	100	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10651_c0_g1(-)	aurinia.TRINITY_DN10651_c0_g1	NA	16	0	0	16	31	30	0	1	0	0	0.0	0.03225806	0.01612903	0.01612903	8	8	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10654_c0_g1(-)	aurinia.TRINITY_DN10654_c0_g1	NA	43	0	0	43	78	78	0	0	0	0	0.0	0.0	0.0	0.0	22	21	0	0	1	0	0.04545455	0.04545455	0.02272727	0.03030303
euphydryas_aurinia	TRINITY_DN10664_c0_g1(+)	aurinia.TRINITY_DN10664_c0_g1	NA	346	0	0	346	662	662	0	0	0	0	0.0	0.0	0.0	0.0	123	122	1	0	0	0	0.00813008	0.0	0.00406504	0.00406504
euphydryas_aurinia	TRINITY_DN10679_c0_g1(+)	aurinia.TRINITY_DN10679_c0_g1	NA	2	0	0	2	2	1	0	0	0	1	0.0	0.0	0.5	0.33333333	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN10713_c0_g1(+)	aurinia.TRINITY_DN10713_c0_g1	NA	140	0	0	140	274	274	0	0	0	0	0.0	0.0	0.0	0.0	67	67	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10730_c0_g1(+)	aurinia.TRINITY_DN10730_c0_g1	OG0001268	174	0	0	174	329	329	0	0	0	0	0.0	0.0	0.0	0.0	55	55	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN10781_c0_g1(-)	aurinia.TRINITY_DN10781_c0_g1	NA	22	0	0	22	41	39	0	2	0	0	0.0	0.04878049	0.02439024	0.02439024	10	10	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11304_c1_g1(-)	aurinia.TRINITY_DN11304_c1_g1	NA	9	0	0	9	17	16	0	0	1	0	0.05882353	0.05882353	0.02941176	0.03921568	2	2	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11314_c0_g1(+)	aurinia.TRINITY_DN11314_c0_g1	NA	24	0	1	23	38	38	0	0	0	0	0.0	0.0	0.0	0.0	7	5	0	0	0	2	0.0	0.0	0.28571429	0.19047619
euphydryas_aurinia	TRINITY_DN11375_c0_g1(+)	aurinia.TRINITY_DN11375_c0_g1	NA	176	0	0	176	351	351	0	0	0	0	0.0	0.0	0.0	0.0	65	65	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11521_c0_g1(+)	aurinia.TRINITY_DN11521_c0_g1	NA	56	0	0	56	111	111	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11522_c0_g1(+)	aurinia.TRINITY_DN11522_c0_g1	OG0001283	152	0	0	152	287	287	0	0	0	0	0.0	0.0	0.0	0.0	55	55	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11567_c0_g1(+)	aurinia.TRINITY_DN11567_c0_g1	NA	64	0	0	64	121	121	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11591_c0_g1(+)	aurinia.TRINITY_DN11591_c0_g1	OG0004995	246	0	0	246	472	472	0	0	0	0	0.0	0.0	0.0	0.0	87	87	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11609_c0_g1(+)	aurinia.TRINITY_DN11609_c0_g1	NA	312	0	0	312	595	594	0	0	0	1	0.0	0.0	0.00168067	0.00112045	108	108	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN11909_c0_g1(+)	aurinia.TRINITY_DN11909_c0_g1	NA	106	0	0	106	205	205	0	0	0	0	0.0	0.0	0.0	0.0	57	56	0	0	0	1	0.0	0.0	0.01754386	0.01169591
euphydryas_aurinia	TRINITY_DN12024_c0_g1(+)	aurinia.TRINITY_DN12024_c0_g1	NA	53	1	1	51	93	88	0	3	2	0	0.02150538	0.05376344	0.02688172	0.03046595	21	20	0	1	0	0	0.0	0.04761905	0.02380952	0.02380952
euphydryas_aurinia	TRINITY_DN12144_c0_g1(+)	aurinia.TRINITY_DN12144_c0_g1	OG0001272	128	0	0	128	242	241	0	0	0	1	0.0	0.0	0.00413223	0.00275482	42	42	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12152_c0_g1(+)	aurinia.TRINITY_DN12152_c0_g1	NA	116	0	0	116	220	220	0	0	0	0	0.0	0.0	0.0	0.0	53	52	1	0	0	0	0.01886792	0.0	0.00943396	0.00943396
euphydryas_aurinia	TRINITY_DN12190_c0_g1(+)	aurinia.TRINITY_DN12190_c0_g1	NA	109	0	0	109	203	203	0	0	0	0	0.0	0.0	0.0	0.0	37	37	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12276_c0_g1(+)	aurinia.TRINITY_DN12276_c0_g1	NA	27	0	0	27	52	52	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12286_c0_g1(+)	aurinia.TRINITY_DN12286_c0_g1	NA	6	0	0	6	10	10	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12305_c0_g1(+)	aurinia.TRINITY_DN12305_c0_g1	NA	22	0	0	22	37	33	4	0	0	0	0.10810811	0.0	0.05405405	0.05405405	8	8	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12322_c0_g1(+)	aurinia.TRINITY_DN12322_c0_g1	NA	250	0	0	250	477	477	0	0	0	0	0.0	0.0	0.0	0.0	111	110	1	0	0	0	0.00900901	0.0	0.0045045	0.0045045
euphydryas_aurinia	TRINITY_DN12331_c0_g1(-)	aurinia.TRINITY_DN12331_c0_g1	NA	11	0	0	11	19	18	0	1	0	0	0.0	0.05263158	0.02631579	0.02631579	5	4	0	0	1	0	0.2	0.2	0.1	0.13333333
euphydryas_aurinia	TRINITY_DN12440_c0_g1(+)	aurinia.TRINITY_DN12440_c0_g1	NA	72	0	0	72	143	142	0	1	0	0	0.0	0.00699301	0.0034965	0.0034965	26	26	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12466_c0_g1(+)	aurinia.TRINITY_DN12466_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12510_c0_g1(+)	aurinia.TRINITY_DN12510_c0_g1	NA	188	0	0	188	368	368	0	0	0	0	0.0	0.0	0.0	0.0	68	67	0	0	0	1	0.0	0.0	0.01470588	0.00980392
euphydryas_aurinia	TRINITY_DN12632_c0_g1(-)	aurinia.TRINITY_DN12632_c0_g1	NA	25	0	0	25	49	48	0	1	0	0	0.0	0.02040816	0.01020408	0.01020408	7	7	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12672_c0_g1(+)	aurinia.TRINITY_DN12672_c0_g1	NA	158	0	0	158	302	302	0	0	0	0	0.0	0.0	0.0	0.0	82	82	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12703_c0_g1(+)	aurinia.TRINITY_DN12703_c0_g1	NA	23	0	0	23	42	40	0	2	0	0	0.0	0.04761905	0.02380952	0.02380952	7	7	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12723_c0_g1(-)	aurinia.TRINITY_DN12723_c0_g1	NA	29	0	0	29	57	56	0	0	0	1	0.0	0.0	0.01754386	0.01169591	14	14	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12771_c0_g1(+)	aurinia.TRINITY_DN12771_c0_g1	NA	25	0	1	24	46	45	0	0	1	0	0.02173913	0.02173913	0.01086957	0.01449276	9	9	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN12818_c0_g1(+)	aurinia.TRINITY_DN12818_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN13000_c0_g1(+)	aurinia.TRINITY_DN13000_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13031_c0_g1(-)	aurinia.TRINITY_DN13031_c0_g1	NA	3	0	0	3	7	7	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13107_c0_g1(+)	aurinia.TRINITY_DN13107_c0_g1	NA	98	0	0	98	192	192	0	0	0	0	0.0	0.0	0.0	0.0	66	65	0	0	0	1	0.0	0.0	0.01515152	0.01010101
euphydryas_aurinia	TRINITY_DN13192_c0_g1(+)	aurinia.TRINITY_DN13192_c0_g1	NA	128	0	0	128	245	245	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13252_c0_g2(+)	aurinia.TRINITY_DN13252_c0_g2	NA	45	0	0	45	91	91	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13253_c0_g1(+)	aurinia.TRINITY_DN13253_c0_g1	NA	118	0	0	118	222	222	0	0	0	0	0.0	0.0	0.0	0.0	49	48	1	0	0	0	0.02040816	0.0	0.01020408	0.01020408
euphydryas_aurinia	TRINITY_DN13256_c0_g1(+)	aurinia.TRINITY_DN13256_c0_g1	NA	146	0	0	146	280	280	0	0	0	0	0.0	0.0	0.0	0.0	55	55	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13346_c0_g1(-)	aurinia.TRINITY_DN13346_c0_g1	NA	77	0	0	77	140	139	0	1	0	0	0.0	0.00714286	0.00357143	0.00357143	28	27	0	0	1	0	0.03571429	0.03571429	0.01785714	0.02380952
euphydryas_aurinia	TRINITY_DN13587_c0_g1(-)	aurinia.TRINITY_DN13587_c0_g1	NA	6	0	0	6	9	9	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13650_c0_g1(+)	aurinia.TRINITY_DN13650_c0_g1	NA	103	0	0	103	207	207	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13695_c0_g1(+)	aurinia.TRINITY_DN13695_c0_g1	NA	104	0	0	104	202	202	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13792_c0_g1(+)	aurinia.TRINITY_DN13792_c0_g1	NA	160	0	0	160	310	310	0	0	0	0	0.0	0.0	0.0	0.0	76	76	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13803_c0_g1(+)	aurinia.TRINITY_DN13803_c0_g1	NA	110	0	0	110	207	206	0	1	0	0	0.0	0.00483092	0.00241546	0.00241546	52	52	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13820_c1_g1(+)	aurinia.TRINITY_DN13820_c1_g1	NA	11	0	1	10	20	19	0	0	1	0	0.05	0.05	0.025	0.03333333	3	3	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN13870_c0_g2(+)	aurinia.TRINITY_DN13870_c0_g2	NA	12	0	0	12	23	23	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
