species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_VA_268	0_pi_VA_443	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_VA_268	4_pi_VA_443	4_pi_between	4_pi_total
vanessa_atalanta	TRINITY_DN715_c0_g1(+)	atalanta.TRINITY_DN715_c0_g1	NA	576	0	0	576	1130	1130	0	0	0	0	0.0	0.0	0.0	0.0	285	285	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN818_c0_g1(+)	atalanta.TRINITY_DN818_c0_g1	NA	235	0	0	235	446	446	0	0	0	0	0.0	0.0	0.0	0.0	91	91	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN861_c0_g1(+)	atalanta.TRINITY_DN861_c0_g1	NA	159	0	0	159	303	303	0	0	0	0	0.0	0.0	0.0	0.0	65	65	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN862_c0_g1(-)	atalanta.TRINITY_DN862_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
vanessa_atalanta	TRINITY_DN1011_c0_g1(+)	atalanta.TRINITY_DN1011_c0_g1	NA	131	0	0	131	251	251	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN1042_c0_g1(+)	atalanta.TRINITY_DN1042_c0_g1	OG0001277	219	0	0	219	425	425	0	0	0	0	0.0	0.0	0.0	0.0	79	78	1	0	0	0	0.01265823	0.0	0.00632911	0.00632911
vanessa_atalanta	TRINITY_DN1205_c0_g1(+)	atalanta.TRINITY_DN1205_c0_g1	NA	14	0	0	14	20	19	0	1	0	0	0.0	0.05	0.025	0.025	6	6	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN1228_c0_g1(+)	atalanta.TRINITY_DN1228_c0_g1	NA	82	0	0	82	165	165	0	0	0	0	0.0	0.0	0.0	0.0	37	37	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN1304_c0_g1(+)	atalanta.TRINITY_DN1304_c0_g1	NA	125	0	0	125	244	244	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN1399_c0_g1(-)	atalanta.TRINITY_DN1399_c0_g1	NA	88	0	0	88	170	170	0	0	0	0	0.0	0.0	0.0	0.0	45	45	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN1404_c0_g1(-)	atalanta.TRINITY_DN1404_c0_g1	NA	25	0	0	25	50	50	0	0	0	0	0.0	0.0	0.0	0.0	13	12	1	0	0	0	0.07692308	0.0	0.03846154	0.03846154
vanessa_atalanta	TRINITY_DN1448_c0_g1(+)	atalanta.TRINITY_DN1448_c0_g1	OG0003143	469	0	0	469	923	923	0	0	0	0	0.0	0.0	0.0	0.0	176	176	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN1485_c0_g1(+)	atalanta.TRINITY_DN1485_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
vanessa_atalanta	TRINITY_DN1774_c0_g1(-)	atalanta.TRINITY_DN1774_c0_g1	NA	31	0	0	31	58	58	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN1925_c0_g1(+)	atalanta.TRINITY_DN1925_c0_g1	NA	147	0	0	147	285	285	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2344_c0_g1(+)	atalanta.TRINITY_DN2344_c0_g1	NA	44	0	0	44	87	87	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2354_c0_g1(+)	atalanta.TRINITY_DN2354_c0_g1	NA	79	0	0	79	155	155	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2357_c0_g1(+)	atalanta.TRINITY_DN2357_c0_g1	NA	258	0	0	258	503	503	0	0	0	0	0.0	0.0	0.0	0.0	109	109	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2368_c0_g1(-)	atalanta.TRINITY_DN2368_c0_g1	NA	35	0	0	35	63	63	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2377_c0_g1(+)	atalanta.TRINITY_DN2377_c0_g1	NA	61	0	0	61	116	116	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2381_c0_g1(+)	atalanta.TRINITY_DN2381_c0_g1	NA	104	0	0	104	199	199	0	0	0	0	0.0	0.0	0.0	0.0	49	49	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2406_c0_g1(+)	atalanta.TRINITY_DN2406_c0_g1	NA	212	0	0	212	402	402	0	0	0	0	0.0	0.0	0.0	0.0	68	68	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2419_c0_g1(+)	atalanta.TRINITY_DN2419_c0_g1	NA	80	0	0	80	162	162	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2447_c0_g1(+)	atalanta.TRINITY_DN2447_c0_g1	NA	2	0	0	2	3	3	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
vanessa_atalanta	TRINITY_DN2491_c0_g1(+)	atalanta.TRINITY_DN2491_c0_g1	NA	37	0	0	37	72	72	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2602_c0_g1(+)	atalanta.TRINITY_DN2602_c0_g1	NA	132	0	0	132	253	253	0	0	0	0	0.0	0.0	0.0	0.0	58	57	1	0	0	0	0.01724138	0.0	0.00862069	0.00862069
vanessa_atalanta	TRINITY_DN2637_c0_g1(+)	atalanta.TRINITY_DN2637_c0_g1	NA	78	0	0	78	149	149	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2678_c0_g1(+)	atalanta.TRINITY_DN2678_c0_g1	NA	408	0	0	408	791	790	0	1	0	0	0.0	0.00126422	0.00063211	0.00063211	188	188	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2687_c0_g1(+)	atalanta.TRINITY_DN2687_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2791_c0_g1(+)	atalanta.TRINITY_DN2791_c0_g1	NA	227	0	0	227	448	448	0	0	0	0	0.0	0.0	0.0	0.0	108	108	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2793_c0_g1(+)	atalanta.TRINITY_DN2793_c0_g1	OG0001656	324	0	0	324	621	621	0	0	0	0	0.0	0.0	0.0	0.0	110	110	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2842_c0_g1(+)	atalanta.TRINITY_DN2842_c0_g1	NA	202	0	0	202	385	385	0	0	0	0	0.0	0.0	0.0	0.0	71	71	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN2911_c0_g2(+)	atalanta.TRINITY_DN2911_c0_g2	OG0001319	143	0	0	143	272	272	0	0	0	0	0.0	0.0	0.0	0.0	66	66	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN3079_c0_g1(+)	atalanta.TRINITY_DN3079_c0_g1	NA	227	0	0	227	426	426	0	0	0	0	0.0	0.0	0.0	0.0	127	127	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN3099_c0_g1(+)	atalanta.TRINITY_DN3099_c0_g1	NA	198	0	0	198	380	380	0	0	0	0	0.0	0.0	0.0	0.0	72	72	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN3239_c0_g1(+)	atalanta.TRINITY_DN3239_c0_g1	NA	235	0	0	235	446	445	0	1	0	0	0.0	0.00224215	0.00112108	0.00112108	163	163	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN3346_c0_g1(-)	atalanta.TRINITY_DN3346_c0_g1	NA	15	0	0	15	28	28	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN3409_c0_g1(+)	atalanta.TRINITY_DN3409_c0_g1	NA	393	0	0	393	745	744	1	0	0	0	0.00134228	0.0	0.00067114	0.00067114	149	149	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN3812_c0_g1(+)	atalanta.TRINITY_DN3812_c0_g1	NA	75	0	0	75	146	146	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN3871_c0_g1(+)	atalanta.TRINITY_DN3871_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
vanessa_atalanta	TRINITY_DN3958_c0_g1(+)	atalanta.TRINITY_DN3958_c0_g1	NA	173	0	0	173	330	330	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN4278_c0_g1(+)	atalanta.TRINITY_DN4278_c0_g1	NA	161	0	0	161	326	326	0	0	0	0	0.0	0.0	0.0	0.0	64	64	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN4351_c0_g1(-)	atalanta.TRINITY_DN4351_c0_g1	NA	29	0	0	29	58	58	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN4403_c0_g1(+)	atalanta.TRINITY_DN4403_c0_g1	NA	67	0	0	67	132	132	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN4588_c0_g1(+)	atalanta.TRINITY_DN4588_c0_g1	NA	124	0	0	124	242	242	0	0	0	0	0.0	0.0	0.0	0.0	60	60	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN4593_c0_g1(+)	atalanta.TRINITY_DN4593_c0_g1	OG0001484	112	0	0	112	207	207	0	0	0	0	0.0	0.0	0.0	0.0	32	31	0	0	0	1	0.0	0.0	0.03125	0.02083333
vanessa_atalanta	TRINITY_DN4829_c0_g1(+)	atalanta.TRINITY_DN4829_c0_g1	NA	6	0	0	6	13	13	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
vanessa_atalanta	TRINITY_DN4966_c0_g1(+)	atalanta.TRINITY_DN4966_c0_g1	NA	59	0	0	59	114	114	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5147_c0_g1(+)	atalanta.TRINITY_DN5147_c0_g1	NA	118	0	0	118	227	227	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5290_c0_g1(+)	atalanta.TRINITY_DN5290_c0_g1	NA	84	0	0	84	162	162	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5310_c0_g1(+)	atalanta.TRINITY_DN5310_c0_g1	OG0001973	234	0	0	234	450	450	0	0	0	0	0.0	0.0	0.0	0.0	80	80	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5485_c0_g1(-)	atalanta.TRINITY_DN5485_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
vanessa_atalanta	TRINITY_DN5549_c0_g1(+)	atalanta.TRINITY_DN5549_c0_g1	NA	91	0	0	91	172	171	0	0	1	0	0.00581395	0.00581395	0.00290698	0.00387597	50	50	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5575_c0_g1(+)	atalanta.TRINITY_DN5575_c0_g1	OG0003666	290	0	0	290	560	560	0	0	0	0	0.0	0.0	0.0	0.0	104	104	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5643_c0_g1(+)	atalanta.TRINITY_DN5643_c0_g1	NA	83	0	0	83	158	158	0	0	0	0	0.0	0.0	0.0	0.0	38	38	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5746_c0_g1(+)	atalanta.TRINITY_DN5746_c0_g1	NA	188	0	0	188	359	359	0	0	0	0	0.0	0.0	0.0	0.0	95	95	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN5976_c0_g2(+)	atalanta.TRINITY_DN5976_c0_g2	NA	203	0	0	203	384	384	0	0	0	0	0.0	0.0	0.0	0.0	125	125	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6025_c0_g1(+)	atalanta.TRINITY_DN6025_c0_g1	NA	253	0	0	253	477	477	0	0	0	0	0.0	0.0	0.0	0.0	92	92	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6115_c0_g1(+)	atalanta.TRINITY_DN6115_c0_g1	NA	91	0	0	91	179	179	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6178_c0_g1(+)	atalanta.TRINITY_DN6178_c0_g1	NA	76	0	0	76	144	144	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6294_c0_g1(+)	atalanta.TRINITY_DN6294_c0_g1	NA	76	0	0	76	147	146	0	0	0	1	0.0	0.0	0.00680272	0.00453515	27	27	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6505_c0_g1(+)	atalanta.TRINITY_DN6505_c0_g1	NA	333	0	0	333	651	650	0	1	0	0	0.0	0.0015361	0.00076805	0.00076805	146	146	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6508_c0_g1(+)	atalanta.TRINITY_DN6508_c0_g1	NA	146	0	0	146	282	282	0	0	0	0	0.0	0.0	0.0	0.0	55	54	0	0	0	1	0.0	0.0	0.01818182	0.01212121
vanessa_atalanta	TRINITY_DN6512_c0_g1(+)	atalanta.TRINITY_DN6512_c0_g1	OG0003155	272	0	0	272	528	528	0	0	0	0	0.0	0.0	0.0	0.0	119	119	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6526_c0_g1(+)	atalanta.TRINITY_DN6526_c0_g1	NA	189	0	0	189	365	364	1	0	0	0	0.00273973	0.0	0.00136986	0.00136986	61	61	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6569_c0_g1(+)	atalanta.TRINITY_DN6569_c0_g1	OG0001283	148	0	0	148	283	283	0	0	0	0	0.0	0.0	0.0	0.0	57	57	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6646_c0_g1(+)	atalanta.TRINITY_DN6646_c0_g1	NA	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN6834_c0_g1(+)	atalanta.TRINITY_DN6834_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
vanessa_atalanta	TRINITY_DN6924_c0_g1(-)	atalanta.TRINITY_DN6924_c0_g1	NA	9	0	0	9	13	13	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7038_c0_g1(+)	atalanta.TRINITY_DN7038_c0_g1	NA	4	0	0	4	9	9	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7331_c0_g1(+)	atalanta.TRINITY_DN7331_c0_g1	NA	274	0	0	274	524	524	0	0	0	0	0.0	0.0	0.0	0.0	102	102	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7363_c0_g1(+)	atalanta.TRINITY_DN7363_c0_g1	OG0001314	135	0	0	135	257	257	0	0	0	0	0.0	0.0	0.0	0.0	43	43	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7493_c0_g1(+)	atalanta.TRINITY_DN7493_c0_g1	NA	248	0	0	248	487	486	0	1	0	0	0.0	0.00205339	0.00102669	0.00102669	81	81	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7643_c0_g1(+)	atalanta.TRINITY_DN7643_c0_g1	OG0003838	839	0	0	839	1621	1621	0	0	0	0	0.0	0.0	0.0	0.0	280	280	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7669_c0_g1(+)	atalanta.TRINITY_DN7669_c0_g1	NA	22	0	0	22	42	42	0	0	0	0	0.0	0.0	0.0	0.0	15	15	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7739_c0_g1(+)	atalanta.TRINITY_DN7739_c0_g1	NA	8	0	0	8	14	14	0	0	0	0	0.0	0.0	0.0	0.0	5	4	0	0	0	1	0.0	0.0	0.2	0.13333333
vanessa_atalanta	TRINITY_DN7787_c0_g1(+)	atalanta.TRINITY_DN7787_c0_g1	NA	167	0	0	167	332	332	0	0	0	0	0.0	0.0	0.0	0.0	70	70	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN7804_c0_g1(+)	atalanta.TRINITY_DN7804_c0_g1	NA	237	0	0	237	445	445	0	0	0	0	0.0	0.0	0.0	0.0	86	86	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8012_c0_g1(+)	atalanta.TRINITY_DN8012_c0_g1	OG0002509	199	0	0	199	380	380	0	0	0	0	0.0	0.0	0.0	0.0	77	77	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8075_c0_g1(+)	atalanta.TRINITY_DN8075_c0_g1	NA	302	0	0	302	578	578	0	0	0	0	0.0	0.0	0.0	0.0	88	88	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8079_c0_g1(-)	atalanta.TRINITY_DN8079_c0_g1	NA	12	0	0	12	23	23	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8235_c0_g1(+)	atalanta.TRINITY_DN8235_c0_g1	OG0001315	136	0	0	136	255	255	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8294_c0_g1(-)	atalanta.TRINITY_DN8294_c0_g1	NA	20	0	0	20	41	41	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8311_c0_g1(+)	atalanta.TRINITY_DN8311_c0_g1	NA	108	0	0	108	199	199	0	0	0	0	0.0	0.0	0.0	0.0	55	55	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8361_c0_g1(+)	atalanta.TRINITY_DN8361_c0_g1	NA	213	0	0	213	410	410	0	0	0	0	0.0	0.0	0.0	0.0	99	98	1	0	0	0	0.01010101	0.0	0.00505051	0.00505051
vanessa_atalanta	TRINITY_DN8382_c0_g1(+)	atalanta.TRINITY_DN8382_c0_g1	NA	45	0	1	44	84	84	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8393_c0_g1(+)	atalanta.TRINITY_DN8393_c0_g1	NA	108	0	0	108	213	213	0	0	0	0	0.0	0.0	0.0	0.0	50	50	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8395_c0_g1(+)	atalanta.TRINITY_DN8395_c0_g1	NA	111	0	0	111	205	205	0	0	0	0	0.0	0.0	0.0	0.0	46	45	0	0	0	1	0.0	0.0	0.02173913	0.01449275
vanessa_atalanta	TRINITY_DN8404_c0_g1(-)	atalanta.TRINITY_DN8404_c0_g1	NA	10	0	0	10	20	20	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8406_c0_g1(+)	atalanta.TRINITY_DN8406_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8412_c0_g1(+)	atalanta.TRINITY_DN8412_c0_g1	NA	108	0	0	108	215	215	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8434_c0_g1(+)	atalanta.TRINITY_DN8434_c0_g1	OG0001321	275	0	0	275	516	516	0	0	0	0	0.0	0.0	0.0	0.0	131	131	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8443_c0_g1(+)	atalanta.TRINITY_DN8443_c0_g1	OG0001341	257	0	0	257	498	498	0	0	0	0	0.0	0.0	0.0	0.0	107	106	0	1	0	0	0.0	0.00934579	0.0046729	0.0046729
vanessa_atalanta	TRINITY_DN8463_c0_g1(+)	atalanta.TRINITY_DN8463_c0_g1	NA	73	0	0	73	145	145	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8475_c0_g1(+)	atalanta.TRINITY_DN8475_c0_g1	NA	109	0	0	109	225	225	0	0	0	0	0.0	0.0	0.0	0.0	60	60	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8504_c0_g1(+)	atalanta.TRINITY_DN8504_c0_g1	NA	59	0	0	59	113	113	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8583_c0_g1(+)	atalanta.TRINITY_DN8583_c0_g1	NA	146	0	0	146	281	281	0	0	0	0	0.0	0.0	0.0	0.0	54	54	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8615_c0_g1(+)	atalanta.TRINITY_DN8615_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8633_c0_g1(+)	atalanta.TRINITY_DN8633_c0_g1	OG0001814	198	0	0	198	386	386	0	0	0	0	0.0	0.0	0.0	0.0	72	72	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8635_c0_g1(+)	atalanta.TRINITY_DN8635_c0_g1	NA	170	0	0	170	322	322	0	0	0	0	0.0	0.0	0.0	0.0	53	53	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8644_c0_g1(+)	atalanta.TRINITY_DN8644_c0_g1	NA	362	0	0	362	693	693	0	0	0	0	0.0	0.0	0.0	0.0	124	123	0	0	1	0	0.00806452	0.00806452	0.00403226	0.00537635
vanessa_atalanta	TRINITY_DN8649_c0_g1(+)	atalanta.TRINITY_DN8649_c0_g1	NA	70	0	0	70	139	139	0	0	0	0	0.0	0.0	0.0	0.0	30	30	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN8651_c0_g1(+)	atalanta.TRINITY_DN8651_c0_g1	NA	468	0	0	468	896	896	0	0	0	0	0.0	0.0	0.0	0.0	188	188	0	0	0	0	0.0	0.0	0.0	0.0
