species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_GA08D	0_pi_GA08E	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_GA08D	4_pi_GA08E	4_pi_between	4_pi_total
melitaea_cinxia_new	TRINITY_DN4055_c0_g1(-)	cinxia.TRINITY_DN4055_c0_g1	NA	3	0	0	3	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4059_c0_g1(-)	cinxia.TRINITY_DN4059_c0_g1	NA	11	0	0	11	21	20	0	1	0	0	0.0	0.04761905	0.02380952	0.02380952	8	8	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4280_c1_g1(+)	cinxia.TRINITY_DN4280_c1_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4327_c0_g1(+)	cinxia.TRINITY_DN4327_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4369_c0_g1(-)	cinxia.TRINITY_DN4369_c0_g1	NA	5	0	0	5	10	9	0	0	1	0	0.1	0.1	0.05	0.06666667	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4498_c0_g1(+)	cinxia.TRINITY_DN4498_c0_g1	NA	22	0	0	22	40	40	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4551_c0_g1(+)	cinxia.TRINITY_DN4551_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN4780_c0_g1(+)	cinxia.TRINITY_DN4780_c0_g1	NA	52	0	0	52	99	99	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4792_c0_g1(-)	cinxia.TRINITY_DN4792_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN4938_c0_g1(-)	cinxia.TRINITY_DN4938_c0_g1	NA	17	0	0	17	33	33	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN4996_c0_g1(+)	cinxia.TRINITY_DN4996_c0_g1	NA	11	0	0	11	20	20	0	0	0	0	0.0	0.0	0.0	0.0	3	2	0	1	0	0	0.0	0.33333333	0.16666667	0.16666667
melitaea_cinxia_new	TRINITY_DN4998_c0_g1(+)	cinxia.TRINITY_DN4998_c0_g1	NA	14	0	0	14	26	26	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN5034_c0_g1(+)	cinxia.TRINITY_DN5034_c0_g1	NA	3	0	0	3	7	7	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN5463_c1_g1(+)	cinxia.TRINITY_DN5463_c1_g1	NA	6	0	0	6	10	10	0	0	0	0	0.0	0.0	0.0	0.0	3	2	0	0	1	0	0.33333333	0.33333333	0.16666667	0.22222222
melitaea_cinxia_new	TRINITY_DN5705_c0_g1(+)	cinxia.TRINITY_DN5705_c0_g1	OG0001374	66	0	0	66	121	121	0	0	0	0	0.0	0.0	0.0	0.0	37	37	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN6070_c0_g1(-)	cinxia.TRINITY_DN6070_c0_g1	OG0004460	66	0	0	66	130	130	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN6072_c0_g1(-)	cinxia.TRINITY_DN6072_c0_g1	NA	16	0	0	16	33	33	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN6370_c0_g1(+)	cinxia.TRINITY_DN6370_c0_g1	OG0001806	125	0	0	125	238	238	0	0	0	0	0.0	0.0	0.0	0.0	62	61	1	0	0	0	0.01612903	0.0	0.00806452	0.00806452
melitaea_cinxia_new	TRINITY_DN6651_c0_g1(+)	cinxia.TRINITY_DN6651_c0_g1	NA	5	0	0	5	8	8	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN6888_c0_g1(+)	cinxia.TRINITY_DN6888_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN6947_c0_g1(-)	cinxia.TRINITY_DN6947_c0_g1	NA	8	0	0	8	14	14	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN6998_c0_g1(+)	cinxia.TRINITY_DN6998_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN7317_c0_g1(-)	cinxia.TRINITY_DN7317_c0_g1	NA	3	0	1	2	5	5	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN7559_c0_g1(-)	cinxia.TRINITY_DN7559_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN7632_c0_g1(+)	cinxia.TRINITY_DN7632_c0_g1	NA	83	0	0	83	159	159	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN8218_c0_g1(-)	cinxia.TRINITY_DN8218_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN8394_c0_g1(-)	cinxia.TRINITY_DN8394_c0_g1	OG0003612	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN8515_c0_g1(+)	cinxia.TRINITY_DN8515_c0_g1	NA	70	0	0	70	129	129	0	0	0	0	0.0	0.0	0.0	0.0	30	29	0	0	0	1	0.0	0.0	0.03333333	0.02222222
melitaea_cinxia_new	TRINITY_DN8555_c0_g1(-)	cinxia.TRINITY_DN8555_c0_g1	NA	9	0	0	9	14	14	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN8743_c0_g1(+)	cinxia.TRINITY_DN8743_c0_g1	NA	163	0	0	163	314	313	0	1	0	0	0.0	0.00318471	0.00159236	0.00159236	74	73	0	1	0	0	0.0	0.01351351	0.00675676	0.00675676
melitaea_cinxia_new	TRINITY_DN8889_c0_g1(+)	cinxia.TRINITY_DN8889_c0_g1	NA	6	0	0	6	10	10	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN8912_c0_g1(-)	cinxia.TRINITY_DN8912_c0_g1	NA	6	0	0	6	13	13	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN9292_c0_g1(+)	cinxia.TRINITY_DN9292_c0_g1	OG0002418	19	0	0	19	33	33	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN9323_c0_g1(+)	cinxia.TRINITY_DN9323_c0_g1	NA	25	0	0	25	45	44	0	0	1	0	0.02222222	0.02222222	0.01111111	0.01481481	13	13	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN9510_c0_g1(-)	cinxia.TRINITY_DN9510_c0_g1	NA	228	0	0	228	440	440	0	0	0	0	0.0	0.0	0.0	0.0	81	78	3	0	0	0	0.03703704	0.0	0.01851852	0.01851852
melitaea_cinxia_new	TRINITY_DN9518_c0_g1(+)	cinxia.TRINITY_DN9518_c0_g1	OG0003016	19	0	0	19	32	32	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN9558_c0_g1(-)	cinxia.TRINITY_DN9558_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN9588_c0_g1(+)	cinxia.TRINITY_DN9588_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN9701_c0_g1(-)	cinxia.TRINITY_DN9701_c0_g1	NA	33	0	0	33	64	64	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN9808_c0_g1(-)	cinxia.TRINITY_DN9808_c0_g1	NA	24	0	0	24	45	45	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN9903_c0_g1(+)	cinxia.TRINITY_DN9903_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN9928_c0_g1(+)	cinxia.TRINITY_DN9928_c0_g1	OG0001270	28	0	0	28	56	56	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10013_c0_g1(+)	cinxia.TRINITY_DN10013_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10094_c0_g1(-)	cinxia.TRINITY_DN10094_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN10127_c0_g1(-)	cinxia.TRINITY_DN10127_c0_g1	NA	83	0	0	83	151	151	0	0	0	0	0.0	0.0	0.0	0.0	34	34	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10171_c0_g1(+)	cinxia.TRINITY_DN10171_c0_g1	NA	61	0	0	61	115	115	0	0	0	0	0.0	0.0	0.0	0.0	36	36	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10191_c0_g1(+)	cinxia.TRINITY_DN10191_c0_g1	NA	154	0	0	154	309	309	0	0	0	0	0.0	0.0	0.0	0.0	77	76	0	1	0	0	0.0	0.01298701	0.00649351	0.00649351
melitaea_cinxia_new	TRINITY_DN10312_c0_g1(+)	cinxia.TRINITY_DN10312_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN10384_c0_g1(-)	cinxia.TRINITY_DN10384_c0_g1	NA	92	0	0	92	169	169	0	0	0	0	0.0	0.0	0.0	0.0	48	41	1	6	0	0	0.02083333	0.125	0.07291667	0.07291667
melitaea_cinxia_new	TRINITY_DN10387_c0_g1(+)	cinxia.TRINITY_DN10387_c0_g1	NA	33	0	0	33	67	67	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10397_c0_g1(+)	cinxia.TRINITY_DN10397_c0_g1	NA	9	0	0	9	17	17	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10464_c0_g1(-)	cinxia.TRINITY_DN10464_c0_g1	NA	25	0	0	25	45	45	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10858_c0_g1(+)	cinxia.TRINITY_DN10858_c0_g1	NA	8	0	0	8	19	19	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN10943_c0_g1(+)	cinxia.TRINITY_DN10943_c0_g1	NA	28	0	0	28	50	50	0	0	0	0	0.0	0.0	0.0	0.0	11	10	0	0	0	1	0.0	0.0	0.09090909	0.06060606
melitaea_cinxia_new	TRINITY_DN10962_c0_g1(+)	cinxia.TRINITY_DN10962_c0_g1	OG0001776	97	0	0	97	185	185	0	0	0	0	0.0	0.0	0.0	0.0	48	45	0	2	1	0	0.02083333	0.0625	0.03125	0.03472222
melitaea_cinxia_new	TRINITY_DN10993_c0_g1(-)	cinxia.TRINITY_DN10993_c0_g1	NA	135	0	0	135	266	265	0	1	0	0	0.0	0.0037594	0.0018797	0.0018797	44	44	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11075_c0_g1(+)	cinxia.TRINITY_DN11075_c0_g1	NA	12	0	0	12	23	22	1	0	0	0	0.04347826	0.0	0.02173913	0.02173913	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11179_c0_g1(-)	cinxia.TRINITY_DN11179_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN11247_c0_g1(+)	cinxia.TRINITY_DN11247_c0_g1	NA	130	0	0	130	244	244	0	0	0	0	0.0	0.0	0.0	0.0	52	50	2	0	0	0	0.03846154	0.0	0.01923077	0.01923077
melitaea_cinxia_new	TRINITY_DN11348_c0_g1(+)	cinxia.TRINITY_DN11348_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN11422_c0_g1(+)	cinxia.TRINITY_DN11422_c0_g1	NA	30	0	0	30	58	58	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11517_c0_g1(+)	cinxia.TRINITY_DN11517_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN11549_c0_g1(+)	cinxia.TRINITY_DN11549_c0_g1	NA	148	0	0	148	291	291	0	0	0	0	0.0	0.0	0.0	0.0	66	66	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11590_c0_g1(+)	cinxia.TRINITY_DN11590_c0_g1	NA	25	0	0	25	47	45	1	1	0	0	0.0212766	0.0212766	0.0212766	0.0212766	9	9	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11595_c0_g1(-)	cinxia.TRINITY_DN11595_c0_g1	NA	7	0	1	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11612_c0_g1(+)	cinxia.TRINITY_DN11612_c0_g1	NA	10	0	0	10	21	21	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11848_c0_g1(-)	cinxia.TRINITY_DN11848_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11901_c0_g1(+)	cinxia.TRINITY_DN11901_c0_g1	NA	65	0	0	65	121	121	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN11997_c0_g1(+)	cinxia.TRINITY_DN11997_c0_g1	OG0001837	57	0	0	57	105	105	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12054_c0_g1(+)	cinxia.TRINITY_DN12054_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN12069_c0_g1(-)	cinxia.TRINITY_DN12069_c0_g1	NA	56	0	0	56	104	103	0	1	0	0	0.0	0.00961538	0.00480769	0.00480769	20	20	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12072_c0_g1(-)	cinxia.TRINITY_DN12072_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12076_c0_g1(+)	cinxia.TRINITY_DN12076_c0_g1	NA	67	0	0	67	129	125	3	0	0	1	0.02325581	0.0	0.01937984	0.01679586	23	23	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12102_c0_g1(+)	cinxia.TRINITY_DN12102_c0_g1	NA	25	0	0	25	50	50	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12163_c0_g1(+)	cinxia.TRINITY_DN12163_c0_g1	NA	72	0	0	72	135	135	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12222_c0_g1(-)	cinxia.TRINITY_DN12222_c0_g1	NA	16	0	0	16	27	24	1	2	0	0	0.03703704	0.07407407	0.05555556	0.05555556	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12326_c0_g1(+)	cinxia.TRINITY_DN12326_c0_g1	NA	43	0	0	43	75	75	0	0	0	0	0.0	0.0	0.0	0.0	14	13	0	1	0	0	0.0	0.07142857	0.03571429	0.03571429
melitaea_cinxia_new	TRINITY_DN12328_c0_g1(+)	cinxia.TRINITY_DN12328_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12334_c0_g1(+)	cinxia.TRINITY_DN12334_c0_g1	OG0002843	6	0	0	6	13	13	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12512_c0_g1(+)	cinxia.TRINITY_DN12512_c0_g1	NA	16	0	0	16	23	22	1	0	0	0	0.04347826	0.0	0.02173913	0.02173913	6	5	0	0	1	0	0.16666667	0.16666667	0.08333333	0.11111111
melitaea_cinxia_new	TRINITY_DN12544_c0_g1(-)	cinxia.TRINITY_DN12544_c0_g1	NA	59	1	1	57	109	109	0	0	0	0	0.0	0.0	0.0	0.0	27	26	0	1	0	0	0.0	0.03703704	0.01851852	0.01851852
melitaea_cinxia_new	TRINITY_DN12560_c0_g1(+)	cinxia.TRINITY_DN12560_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN12569_c0_g1(+)	cinxia.TRINITY_DN12569_c0_g1	OG0001460	15	0	0	15	29	29	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12575_c0_g1(+)	cinxia.TRINITY_DN12575_c0_g1	NA	7	0	0	7	15	15	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12588_c0_g1(+)	cinxia.TRINITY_DN12588_c0_g1	OG0003272	10	0	0	10	17	17	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12600_c0_g1(+)	cinxia.TRINITY_DN12600_c0_g1	NA	1	0	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN12657_c0_g1(-)	cinxia.TRINITY_DN12657_c0_g1	NA	11	0	0	11	21	21	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN12694_c0_g1(+)	cinxia.TRINITY_DN12694_c0_g1	NA	123	0	0	123	233	233	0	0	0	0	0.0	0.0	0.0	0.0	31	31	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12707_c0_g1(+)	cinxia.TRINITY_DN12707_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12708_c0_g1(-)	cinxia.TRINITY_DN12708_c0_g1	NA	56	0	0	56	105	105	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12708_c0_g2(+)	cinxia.TRINITY_DN12708_c0_g2	NA	92	0	0	92	172	172	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12781_c1_g1(-)	cinxia.TRINITY_DN12781_c1_g1	NA	50	0	1	49	83	76	1	0	6	0	0.08433735	0.07228916	0.04216867	0.05421686	12	11	0	0	1	0	0.08333333	0.08333333	0.04166667	0.05555556
melitaea_cinxia_new	TRINITY_DN12802_c0_g1(-)	cinxia.TRINITY_DN12802_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN12809_c0_g1(+)	cinxia.TRINITY_DN12809_c0_g1	NA	57	0	0	57	107	107	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12828_c0_g1(+)	cinxia.TRINITY_DN12828_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN12928_c0_g1(+)	cinxia.TRINITY_DN12928_c0_g1	OG0001324	221	0	0	221	421	421	0	0	0	0	0.0	0.0	0.0	0.0	110	110	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12931_c0_g1(+)	cinxia.TRINITY_DN12931_c0_g1	NA	30	0	0	30	51	51	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12965_c0_g1(-)	cinxia.TRINITY_DN12965_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN12966_c0_g1(+)	cinxia.TRINITY_DN12966_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
