species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_TL_GA42A	0_pi_TL_GA42D	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_TL_GA42A	4_pi_TL_GA42D	4_pi_between	4_pi_total
thymelicus_lineola	TRINITY_DN5285_c0_g1(-)	lineola.TRINITY_DN5285_c0_g1	NA	57	0	0	57	107	107	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN5344_c0_g1(+)	lineola.TRINITY_DN5344_c0_g1	NA	57	0	0	57	109	109	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN5874_c0_g1(-)	lineola.TRINITY_DN5874_c0_g1	NA	8	0	0	8	13	13	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN5903_c0_g1(-)	lineola.TRINITY_DN5903_c0_g1	NA	2	0	0	2	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN6432_c0_g1(-)	lineola.TRINITY_DN6432_c0_g1	NA	2	0	0	2	3	3	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN6473_c0_g1(+)	lineola.TRINITY_DN6473_c0_g1	NA	39	0	0	39	80	80	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN6520_c0_g1(+)	lineola.TRINITY_DN6520_c0_g1	NA	1	0	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN7213_c0_g1(+)	lineola.TRINITY_DN7213_c0_g1	NA	3	0	0	3	5	5	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN8547_c1_g1(+)	lineola.TRINITY_DN8547_c1_g1	NA	35	0	0	35	63	61	1	1	0	0	0.01587302	0.01587302	0.01587302	0.01587302	13	13	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN8622_c1_g1(+)	lineola.TRINITY_DN8622_c1_g1	NA	28	0	0	28	52	51	1	0	0	0	0.01923077	0.0	0.00961538	0.00961538	12	12	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN8792_c0_g1(+)	lineola.TRINITY_DN8792_c0_g1	NA	108	0	0	108	210	210	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN8803_c0_g1(-)	lineola.TRINITY_DN8803_c0_g1	NA	53	0	0	53	101	101	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN8872_c0_g1(-)	lineola.TRINITY_DN8872_c0_g1	NA	16	1	0	15	28	28	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN8876_c1_g1(-)	lineola.TRINITY_DN8876_c1_g1	NA	14	1	0	13	26	26	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN9598_c0_g1(+)	lineola.TRINITY_DN9598_c0_g1	NA	153	0	0	153	304	304	0	0	0	0	0.0	0.0	0.0	0.0	57	57	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN9786_c1_g1(+)	lineola.TRINITY_DN9786_c1_g1	NA	13	0	0	13	24	23	0	0	1	0	0.04166667	0.04166667	0.02083333	0.02777778	7	7	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN9813_c0_g1(+)	lineola.TRINITY_DN9813_c0_g1	NA	8	0	0	8	17	17	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN9987_c0_g1(-)	lineola.TRINITY_DN9987_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN10003_c0_g1(-)	lineola.TRINITY_DN10003_c0_g1	NA	60	0	0	60	122	122	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN10157_c0_g1(+)	lineola.TRINITY_DN10157_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN10423_c0_g1(+)	lineola.TRINITY_DN10423_c0_g1	OG0001290	67	0	0	67	127	127	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN10606_c0_g1(+)	lineola.TRINITY_DN10606_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN10609_c0_g1(+)	lineola.TRINITY_DN10609_c0_g1	NA	7	0	0	7	12	11	0	1	0	0	0.0	0.08333333	0.04166667	0.04166667	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN11529_c0_g1(+)	lineola.TRINITY_DN11529_c0_g1	NA	10	0	0	10	20	20	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN11720_c0_g1(+)	lineola.TRINITY_DN11720_c0_g1	NA	68	0	0	68	130	130	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN11994_c0_g1(+)	lineola.TRINITY_DN11994_c0_g1	NA	48	0	0	48	95	95	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN12005_c0_g1(-)	lineola.TRINITY_DN12005_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN12029_c0_g1(+)	lineola.TRINITY_DN12029_c0_g1	NA	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN12043_c0_g1(+)	lineola.TRINITY_DN12043_c0_g1	NA	11	0	0	11	20	20	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN12558_c0_g1(-)	lineola.TRINITY_DN12558_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN12593_c0_g1(+)	lineola.TRINITY_DN12593_c0_g1	NA	19	0	0	19	37	37	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN12801_c0_g1(+)	lineola.TRINITY_DN12801_c0_g1	NA	1	0	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN12815_c0_g1(-)	lineola.TRINITY_DN12815_c0_g1	NA	17	0	1	16	27	26	0	0	1	0	0.03703704	0.03703704	0.01851852	0.02469136	7	7	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN12979_c0_g1(+)	lineola.TRINITY_DN12979_c0_g1	NA	63	0	0	63	135	134	1	0	0	0	0.00740741	0.0	0.0037037	0.0037037	12	12	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN13176_c0_g1(-)	lineola.TRINITY_DN13176_c0_g1	NA	8	0	0	8	13	13	0	0	0	0	0.0	0.0	0.0	0.0	4	3	0	1	0	0	0.0	0.25	0.125	0.125
thymelicus_lineola	TRINITY_DN13373_c0_g1(+)	lineola.TRINITY_DN13373_c0_g1	NA	14	0	0	14	27	27	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN13378_c0_g1(+)	lineola.TRINITY_DN13378_c0_g1	OG0002509	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN13599_c0_g1(-)	lineola.TRINITY_DN13599_c0_g1	NA	12	0	0	12	23	23	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN13633_c0_g1(+)	lineola.TRINITY_DN13633_c0_g1	NA	3	0	0	3	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN13755_c0_g1(+)	lineola.TRINITY_DN13755_c0_g1	NA	8	0	0	8	14	14	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN13793_c1_g1(-)	lineola.TRINITY_DN13793_c1_g1	NA	13	0	0	13	25	25	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN13934_c0_g1(-)	lineola.TRINITY_DN13934_c0_g1	NA	127	0	0	127	245	244	0	1	0	0	0.0	0.00408163	0.00204082	0.00204082	48	48	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14008_c0_g1(-)	lineola.TRINITY_DN14008_c0_g1	NA	615	0	0	615	1187	1187	0	0	0	0	0.0	0.0	0.0	0.0	236	236	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14094_c0_g1(+)	lineola.TRINITY_DN14094_c0_g1	NA	27	0	0	27	54	54	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14123_c0_g1(+)	lineola.TRINITY_DN14123_c0_g1	NA	102	0	0	102	196	196	0	0	0	0	0.0	0.0	0.0	0.0	58	58	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14252_c0_g1(+)	lineola.TRINITY_DN14252_c0_g1	NA	140	0	0	140	273	273	0	0	0	0	0.0	0.0	0.0	0.0	53	53	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14303_c0_g1(-)	lineola.TRINITY_DN14303_c0_g1	NA	96	0	0	96	176	176	0	0	0	0	0.0	0.0	0.0	0.0	51	51	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14411_c0_g1(-)	lineola.TRINITY_DN14411_c0_g1	NA	79	0	0	79	153	153	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14448_c0_g1(-)	lineola.TRINITY_DN14448_c0_g1	NA	10	0	0	10	18	18	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14468_c0_g1(+)	lineola.TRINITY_DN14468_c0_g1	NA	58	0	0	58	111	111	0	0	0	0	0.0	0.0	0.0	0.0	18	18	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14527_c0_g1(+)	lineola.TRINITY_DN14527_c0_g1	NA	91	0	0	91	174	174	0	0	0	0	0.0	0.0	0.0	0.0	41	40	0	0	0	1	0.0	0.0	0.02439024	0.01626016
thymelicus_lineola	TRINITY_DN14545_c1_g1(+)	lineola.TRINITY_DN14545_c1_g1	NA	9	0	0	9	17	16	0	0	1	0	0.05882353	0.05882353	0.02941176	0.03921568	4	4	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14563_c0_g2(+)	lineola.TRINITY_DN14563_c0_g2	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN14629_c0_g2(+)	lineola.TRINITY_DN14629_c0_g2	NA	14	0	0	14	28	27	0	1	0	0	0.0	0.03571429	0.01785714	0.01785714	6	6	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14800_c0_g1(+)	lineola.TRINITY_DN14800_c0_g1	NA	36	0	0	36	73	73	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14833_c0_g1(-)	lineola.TRINITY_DN14833_c0_g1	NA	10	0	0	10	20	20	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14987_c0_g1(-)	lineola.TRINITY_DN14987_c0_g1	NA	34	0	0	34	60	59	0	1	0	0	0.0	0.01666667	0.00833333	0.00833333	12	12	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN14996_c0_g1(-)	lineola.TRINITY_DN14996_c0_g1	OG0003328	59	0	0	59	116	116	0	0	0	0	0.0	0.0	0.0	0.0	15	15	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN15326_c0_g1(-)	lineola.TRINITY_DN15326_c0_g1	OG0004076	180	0	0	180	353	353	0	0	0	0	0.0	0.0	0.0	0.0	87	87	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN15386_c0_g1(+)	lineola.TRINITY_DN15386_c0_g1	NA	19	0	0	19	32	31	1	0	0	0	0.03125	0.0	0.015625	0.015625	9	9	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN15447_c0_g1(+)	lineola.TRINITY_DN15447_c0_g1	NA	12	0	0	12	24	24	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN15492_c0_g1(+)	lineola.TRINITY_DN15492_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	3	2	0	1	0	0	0.0	0.33333333	0.16666667	0.16666667
thymelicus_lineola	TRINITY_DN15684_c0_g1(+)	lineola.TRINITY_DN15684_c0_g1	NA	84	0	0	84	168	168	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN15759_c0_g1(-)	lineola.TRINITY_DN15759_c0_g1	NA	61	0	0	61	119	119	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN16147_c0_g1(+)	lineola.TRINITY_DN16147_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN16468_c0_g1(+)	lineola.TRINITY_DN16468_c0_g1	NA	6	0	0	6	10	9	1	0	0	0	0.1	0.0	0.05	0.05	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN16995_c0_g1(-)	lineola.TRINITY_DN16995_c0_g1	NA	150	0	0	150	280	279	0	1	0	0	0.0	0.00357143	0.00178571	0.00178571	58	58	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17039_c0_g1(-)	lineola.TRINITY_DN17039_c0_g1	NA	34	0	0	34	62	62	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17067_c0_g1(+)	lineola.TRINITY_DN17067_c0_g1	NA	147	0	0	147	288	288	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17100_c0_g1(-)	lineola.TRINITY_DN17100_c0_g1	NA	62	0	0	62	122	122	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17123_c0_g1(-)	lineola.TRINITY_DN17123_c0_g1	NA	25	0	0	25	48	48	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17263_c0_g1(-)	lineola.TRINITY_DN17263_c0_g1	NA	39	0	0	39	76	75	0	0	1	0	0.01315789	0.01315789	0.00657895	0.00877193	23	23	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17319_c0_g1(+)	lineola.TRINITY_DN17319_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17531_c0_g1(-)	lineola.TRINITY_DN17531_c0_g1	NA	63	0	0	63	121	121	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17537_c0_g1(-)	lineola.TRINITY_DN17537_c0_g1	NA	16	0	0	16	33	33	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17543_c0_g1(-)	lineola.TRINITY_DN17543_c0_g1	NA	74	0	0	74	147	147	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17731_c0_g1(-)	lineola.TRINITY_DN17731_c0_g1	NA	9	0	0	9	18	18	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17840_c0_g1(-)	lineola.TRINITY_DN17840_c0_g1	NA	108	0	0	108	225	225	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17927_c0_g1(-)	lineola.TRINITY_DN17927_c0_g1	OG0002856	379	0	0	379	707	707	0	0	0	0	0.0	0.0	0.0	0.0	163	163	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17945_c0_g1(+)	lineola.TRINITY_DN17945_c0_g1	NA	107	0	0	107	198	198	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN17950_c0_g1(+)	lineola.TRINITY_DN17950_c0_g1	NA	21	0	0	21	31	28	0	0	0	3	0.0	0.0	0.09677419	0.06451613	6	5	0	0	0	1	0.0	0.0	0.16666667	0.11111111
thymelicus_lineola	TRINITY_DN18041_c0_g1(+)	lineola.TRINITY_DN18041_c0_g1	NA	49	0	0	49	96	96	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18063_c0_g1(+)	lineola.TRINITY_DN18063_c0_g1	NA	15	0	0	15	30	30	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18099_c0_g1(+)	lineola.TRINITY_DN18099_c0_g1	NA	130	0	0	130	251	251	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18372_c0_g1(-)	lineola.TRINITY_DN18372_c0_g1	NA	52	0	0	52	95	94	0	1	0	0	0.0	0.01052632	0.00526316	0.00526316	26	26	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18380_c0_g1(-)	lineola.TRINITY_DN18380_c0_g1	NA	23	0	0	23	44	43	0	0	1	0	0.02272727	0.02272727	0.01136364	0.01515152	10	10	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18469_c0_g1(+)	lineola.TRINITY_DN18469_c0_g1	NA	36	1	0	35	60	56	0	0	4	0	0.06666667	0.06666667	0.03333333	0.04444444	8	8	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18574_c0_g1(+)	lineola.TRINITY_DN18574_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN18608_c0_g1(+)	lineola.TRINITY_DN18608_c0_g1	NA	40	0	0	40	81	81	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18775_c0_g1(+)	lineola.TRINITY_DN18775_c0_g1	NA	26	0	0	26	51	51	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN18903_c0_g1(+)	lineola.TRINITY_DN18903_c0_g1	NA	40	0	3	37	60	57	0	0	3	0	0.05	0.05	0.025	0.03333333	15	14	0	0	1	0	0.06666667	0.06666667	0.03333333	0.04444444
thymelicus_lineola	TRINITY_DN19060_c0_g1(-)	lineola.TRINITY_DN19060_c0_g1	NA	54	0	0	54	105	105	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19102_c0_g1(+)	lineola.TRINITY_DN19102_c0_g1	NA	19	0	0	19	35	35	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19137_c0_g1(+)	lineola.TRINITY_DN19137_c0_g1	NA	124	0	0	124	238	238	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19234_c0_g1(-)	lineola.TRINITY_DN19234_c0_g1	NA	4	0	0	4	9	9	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19256_c0_g1(+)	lineola.TRINITY_DN19256_c0_g1	NA	2	0	1	1	3	3	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN19353_c0_g1(+)	lineola.TRINITY_DN19353_c0_g1	NA	12	0	0	12	25	25	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19383_c0_g1(-)	lineola.TRINITY_DN19383_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19420_c0_g1(+)	lineola.TRINITY_DN19420_c0_g1	NA	51	0	0	51	87	80	0	1	6	0	0.06896552	0.08045977	0.04022989	0.05172414	19	19	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19450_c0_g2(-)	lineola.TRINITY_DN19450_c0_g2	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19507_c0_g1(-)	lineola.TRINITY_DN19507_c0_g1	NA	35	0	0	35	61	60	0	1	0	0	0.0	0.01639344	0.00819672	0.00819672	11	11	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19522_c0_g1(-)	lineola.TRINITY_DN19522_c0_g1	NA	42	0	0	42	76	73	1	0	2	0	0.03947368	0.02631579	0.01973684	0.0241228	15	15	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19555_c1_g1(+)	lineola.TRINITY_DN19555_c1_g1	NA	3	0	0	3	7	7	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN19592_c0_g1(+)	lineola.TRINITY_DN19592_c0_g1	NA	24	0	0	24	46	46	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
