species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_MJ_177	0_pi_MJ_27	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_MJ_177	4_pi_MJ_27	4_pi_between	4_pi_total
maniola_jurtina	TRINITY_DN4605_c0_g1(-)	jurtina.TRINITY_DN4605_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN4662_c0_g1(+)	jurtina.TRINITY_DN4662_c0_g1	NA	8	0	0	8	14	14	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN5307_c0_g1(-)	jurtina.TRINITY_DN5307_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN5747_c0_g1(+)	jurtina.TRINITY_DN5747_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN6478_c0_g1(-)	jurtina.TRINITY_DN6478_c0_g1	NA	75	0	0	75	143	143	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN6491_c0_g1(+)	jurtina.TRINITY_DN6491_c0_g1	NA	110	0	0	110	207	207	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN6562_c0_g1(+)	jurtina.TRINITY_DN6562_c0_g1	NA	132	0	0	132	250	250	0	0	0	0	0.0	0.0	0.0	0.0	86	86	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN6587_c0_g1(+)	jurtina.TRINITY_DN6587_c0_g1	OG0001309	108	0	1	107	203	203	0	0	0	0	0.0	0.0	0.0	0.0	48	48	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN6610_c0_g1(+)	jurtina.TRINITY_DN6610_c0_g1	NA	107	0	0	107	200	200	0	0	0	0	0.0	0.0	0.0	0.0	37	37	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN6713_c0_g1(+)	jurtina.TRINITY_DN6713_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN6891_c0_g1(+)	jurtina.TRINITY_DN6891_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN6929_c0_g1(+)	jurtina.TRINITY_DN6929_c0_g1	NA	184	0	0	184	347	347	0	0	0	0	0.0	0.0	0.0	0.0	72	71	1	0	0	0	0.01388889	0.0	0.00694444	0.00694444
maniola_jurtina	TRINITY_DN7190_c0_g2(+)	jurtina.TRINITY_DN7190_c0_g2	NA	26	0	0	26	50	50	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7249_c0_g1(+)	jurtina.TRINITY_DN7249_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7256_c0_g1(+)	jurtina.TRINITY_DN7256_c0_g1	OG0001290	101	0	0	101	188	188	0	0	0	0	0.0	0.0	0.0	0.0	42	40	0	1	0	1	0.0	0.02380952	0.03571429	0.02777778
maniola_jurtina	TRINITY_DN7266_c0_g1(+)	jurtina.TRINITY_DN7266_c0_g1	NA	130	0	0	130	250	250	0	0	0	0	0.0	0.0	0.0	0.0	53	53	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7271_c0_g1(+)	jurtina.TRINITY_DN7271_c0_g1	NA	158	0	0	158	296	296	0	0	0	0	0.0	0.0	0.0	0.0	64	63	0	1	0	0	0.0	0.015625	0.0078125	0.0078125
maniola_jurtina	TRINITY_DN7275_c0_g1(+)	jurtina.TRINITY_DN7275_c0_g1	OG0003819	338	0	0	338	658	658	0	0	0	0	0.0	0.0	0.0	0.0	122	122	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7569_c0_g1(+)	jurtina.TRINITY_DN7569_c0_g1	NA	12	0	1	11	18	18	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7611_c0_g1(+)	jurtina.TRINITY_DN7611_c0_g1	NA	47	0	0	47	88	88	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7619_c0_g1(+)	jurtina.TRINITY_DN7619_c0_g1	NA	54	1	0	53	96	93	0	1	2	0	0.02083333	0.03125	0.015625	0.01909722	19	18	0	0	1	0	0.05263158	0.05263158	0.02631579	0.03508772
maniola_jurtina	TRINITY_DN7638_c0_g1(+)	jurtina.TRINITY_DN7638_c0_g1	NA	101	0	0	101	189	189	0	0	0	0	0.0	0.0	0.0	0.0	36	36	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7716_c0_g1(+)	jurtina.TRINITY_DN7716_c0_g1	OG0002418	92	0	0	92	178	178	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7910_c0_g1(-)	jurtina.TRINITY_DN7910_c0_g1	NA	11	0	0	11	22	22	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN7999_c0_g1(+)	jurtina.TRINITY_DN7999_c0_g1	NA	32	0	0	32	65	65	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8004_c0_g2(-)	jurtina.TRINITY_DN8004_c0_g2	NA	15	0	0	15	30	30	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8043_c0_g1(+)	jurtina.TRINITY_DN8043_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN8084_c0_g1(+)	jurtina.TRINITY_DN8084_c0_g1	NA	69	0	0	69	128	128	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8098_c0_g1(+)	jurtina.TRINITY_DN8098_c0_g1	NA	69	0	0	69	134	134	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8342_c0_g1(-)	jurtina.TRINITY_DN8342_c0_g1	NA	32	0	0	32	63	63	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8407_c0_g1(-)	jurtina.TRINITY_DN8407_c0_g1	NA	13	0	0	13	23	23	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8414_c0_g1(+)	jurtina.TRINITY_DN8414_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8425_c0_g2(+)	jurtina.TRINITY_DN8425_c0_g2	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN8447_c0_g1(+)	jurtina.TRINITY_DN8447_c0_g1	NA	68	0	0	68	129	129	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9059_c0_g1(+)	jurtina.TRINITY_DN9059_c0_g1	NA	111	0	0	111	219	218	1	0	0	0	0.00456621	0.0	0.00228311	0.00228311	46	46	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9092_c0_g1(+)	jurtina.TRINITY_DN9092_c0_g1	NA	141	0	0	141	279	278	0	0	0	1	0.0	0.0	0.00358423	0.00238949	63	63	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9129_c0_g1(+)	jurtina.TRINITY_DN9129_c0_g1	NA	52	0	0	52	97	97	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9134_c0_g1(+)	jurtina.TRINITY_DN9134_c0_g1	OG0003529	399	0	0	399	750	750	0	0	0	0	0.0	0.0	0.0	0.0	161	160	0	1	0	0	0.0	0.00621118	0.00310559	0.00310559
maniola_jurtina	TRINITY_DN9154_c0_g1(+)	jurtina.TRINITY_DN9154_c0_g1	OG0001617	496	0	0	496	949	949	0	0	0	0	0.0	0.0	0.0	0.0	205	203	2	0	0	0	0.0097561	0.0	0.00487805	0.00487805
maniola_jurtina	TRINITY_DN9193_c0_g1(+)	jurtina.TRINITY_DN9193_c0_g1	NA	179	0	0	179	340	340	0	0	0	0	0.0	0.0	0.0	0.0	76	74	2	0	0	0	0.02631579	0.0	0.01315789	0.01315789
maniola_jurtina	TRINITY_DN9206_c0_g1(+)	jurtina.TRINITY_DN9206_c0_g1	NA	204	0	0	204	399	399	0	0	0	0	0.0	0.0	0.0	0.0	61	60	1	0	0	0	0.01639344	0.0	0.00819672	0.00819672
maniola_jurtina	TRINITY_DN9212_c0_g1(-)	jurtina.TRINITY_DN9212_c0_g1	NA	53	0	0	53	98	97	0	1	0	0	0.0	0.01020408	0.00510204	0.00510204	19	19	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9248_c0_g1(+)	jurtina.TRINITY_DN9248_c0_g1	NA	225	0	0	225	430	429	0	0	0	1	0.0	0.0	0.00232558	0.00155039	93	92	0	1	0	0	0.0	0.01075269	0.00537634	0.00537634
maniola_jurtina	TRINITY_DN9292_c0_g1(+)	jurtina.TRINITY_DN9292_c0_g1	NA	113	0	1	112	209	209	0	0	0	0	0.0	0.0	0.0	0.0	51	50	0	0	0	1	0.0	0.0	0.01960784	0.01307189
maniola_jurtina	TRINITY_DN9404_c0_g1(+)	jurtina.TRINITY_DN9404_c0_g1	NA	7	0	0	7	12	11	0	0	1	0	0.08333333	0.08333333	0.04166667	0.05555556	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9446_c0_g1(+)	jurtina.TRINITY_DN9446_c0_g1	NA	294	0	0	294	563	562	1	0	0	0	0.0017762	0.0	0.0008881	0.0008881	121	121	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9479_c0_g1(+)	jurtina.TRINITY_DN9479_c0_g1	NA	71	0	0	71	139	139	0	0	0	0	0.0	0.0	0.0	0.0	34	33	0	1	0	0	0.0	0.02941176	0.01470588	0.01470588
maniola_jurtina	TRINITY_DN9495_c0_g1(+)	jurtina.TRINITY_DN9495_c0_g1	NA	116	0	0	116	216	216	0	0	0	0	0.0	0.0	0.0	0.0	54	52	1	1	0	0	0.01851852	0.01851852	0.01851852	0.01851852
maniola_jurtina	TRINITY_DN9587_c0_g1(+)	jurtina.TRINITY_DN9587_c0_g1	NA	104	0	0	104	201	201	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9606_c0_g1(-)	jurtina.TRINITY_DN9606_c0_g1	NA	15	0	0	15	25	25	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9650_c0_g1(-)	jurtina.TRINITY_DN9650_c0_g1	NA	59	0	0	59	106	101	2	1	1	1	0.02830189	0.01886792	0.02830189	0.02672956	13	13	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9720_c0_g1(+)	jurtina.TRINITY_DN9720_c0_g1	NA	1	0	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN9742_c0_g1(-)	jurtina.TRINITY_DN9742_c0_g1	NA	131	0	0	131	251	250	0	0	0	1	0.0	0.0	0.00398406	0.00265604	64	64	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9752_c0_g1(-)	jurtina.TRINITY_DN9752_c0_g1	NA	37	0	0	37	70	70	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9813_c0_g1(-)	jurtina.TRINITY_DN9813_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN9861_c0_g1(+)	jurtina.TRINITY_DN9861_c0_g1	OG0002590	316	0	0	316	611	611	0	0	0	0	0.0	0.0	0.0	0.0	132	131	1	0	0	0	0.00757576	0.0	0.00378788	0.00378788
maniola_jurtina	TRINITY_DN9870_c0_g1(+)	jurtina.TRINITY_DN9870_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9873_c0_g1(+)	jurtina.TRINITY_DN9873_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN9909_c0_g1(+)	jurtina.TRINITY_DN9909_c0_g1	NA	103	0	0	103	199	199	0	0	0	0	0.0	0.0	0.0	0.0	63	63	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9911_c0_g1(-)	jurtina.TRINITY_DN9911_c0_g1	NA	20	0	0	20	30	29	0	0	1	0	0.03333333	0.03333333	0.01666667	0.02222222	3	2	0	0	1	0	0.33333333	0.33333333	0.16666667	0.22222222
maniola_jurtina	TRINITY_DN9957_c0_g1(+)	jurtina.TRINITY_DN9957_c0_g1	NA	65	0	0	65	120	120	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9965_c0_g1(+)	jurtina.TRINITY_DN9965_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9980_c0_g1(+)	jurtina.TRINITY_DN9980_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN9988_c0_g1(+)	jurtina.TRINITY_DN9988_c0_g1	NA	324	0	0	324	624	623	0	1	0	0	0.0	0.00160256	0.00080128	0.00080128	132	130	0	2	0	0	0.0	0.01515152	0.00757576	0.00757576
maniola_jurtina	TRINITY_DN10007_c0_g1(+)	jurtina.TRINITY_DN10007_c0_g1	NA	82	0	0	82	158	157	0	0	0	1	0.0	0.0	0.00632911	0.00421941	37	37	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10034_c0_g1(+)	jurtina.TRINITY_DN10034_c0_g1	NA	145	0	0	145	281	281	0	0	0	0	0.0	0.0	0.0	0.0	56	55	0	0	0	1	0.0	0.0	0.01785714	0.01190476
maniola_jurtina	TRINITY_DN10047_c0_g1(+)	jurtina.TRINITY_DN10047_c0_g1	NA	117	0	0	117	225	225	0	0	0	0	0.0	0.0	0.0	0.0	45	44	0	1	0	0	0.0	0.02222222	0.01111111	0.01111111
maniola_jurtina	TRINITY_DN10063_c0_g1(+)	jurtina.TRINITY_DN10063_c0_g1	NA	62	0	0	62	125	125	0	0	0	0	0.0	0.0	0.0	0.0	23	22	1	0	0	0	0.04347826	0.0	0.02173913	0.02173913
maniola_jurtina	TRINITY_DN10081_c0_g1(-)	jurtina.TRINITY_DN10081_c0_g1	NA	47	0	0	47	88	88	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10086_c1_g1(-)	jurtina.TRINITY_DN10086_c1_g1	NA	15	0	1	14	22	18	1	1	2	0	0.13636364	0.13636364	0.09090909	0.10606061	6	6	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10093_c0_g1(+)	jurtina.TRINITY_DN10093_c0_g1	NA	252	0	0	252	477	476	0	0	0	1	0.0	0.0	0.00209644	0.00139763	95	94	1	0	0	0	0.01052632	0.0	0.00526316	0.00526316
maniola_jurtina	TRINITY_DN10146_c0_g1(+)	jurtina.TRINITY_DN10146_c0_g1	NA	18	0	0	18	30	29	0	0	1	0	0.03333333	0.03333333	0.01666667	0.02222222	5	3	1	0	1	0	0.4	0.2	0.2	0.23333333
maniola_jurtina	TRINITY_DN10153_c0_g1(+)	jurtina.TRINITY_DN10153_c0_g1	NA	1	0	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN10168_c0_g1(+)	jurtina.TRINITY_DN10168_c0_g1	NA	206	0	0	206	393	392	0	1	0	0	0.0	0.00254453	0.00127226	0.00127226	81	81	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10172_c0_g1(+)	jurtina.TRINITY_DN10172_c0_g1	NA	64	0	0	64	117	117	0	0	0	0	0.0	0.0	0.0	0.0	24	23	1	0	0	0	0.04166667	0.0	0.02083333	0.02083333
maniola_jurtina	TRINITY_DN10190_c0_g1(+)	jurtina.TRINITY_DN10190_c0_g1	OG0001283	151	0	0	151	282	281	1	0	0	0	0.0035461	0.0	0.00177305	0.00177305	50	49	1	0	0	0	0.02	0.0	0.01	0.01
maniola_jurtina	TRINITY_DN10245_c0_g1(+)	jurtina.TRINITY_DN10245_c0_g1	OG0001504	165	0	0	165	328	328	0	0	0	0	0.0	0.0	0.0	0.0	69	67	0	2	0	0	0.0	0.02898551	0.01449275	0.01449275
maniola_jurtina	TRINITY_DN10250_c0_g1(-)	jurtina.TRINITY_DN10250_c0_g1	NA	34	0	0	34	60	59	0	0	0	1	0.0	0.0	0.01666667	0.01111111	7	5	0	0	0	2	0.0	0.0	0.28571429	0.19047619
maniola_jurtina	TRINITY_DN10280_c0_g1(+)	jurtina.TRINITY_DN10280_c0_g1	NA	6	0	1	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10416_c0_g1(-)	jurtina.TRINITY_DN10416_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN10518_c0_g1(+)	jurtina.TRINITY_DN10518_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10519_c0_g1(+)	jurtina.TRINITY_DN10519_c0_g1	NA	267	0	0	267	510	510	0	0	0	0	0.0	0.0	0.0	0.0	113	112	1	0	0	0	0.00884956	0.0	0.00442478	0.00442478
maniola_jurtina	TRINITY_DN10527_c0_g1(+)	jurtina.TRINITY_DN10527_c0_g1	NA	302	0	0	302	578	577	1	0	0	0	0.0017301	0.0	0.00086505	0.00086505	97	97	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10542_c0_g1(+)	jurtina.TRINITY_DN10542_c0_g1	NA	21	0	0	21	37	36	1	0	0	0	0.02702703	0.0	0.01351351	0.01351351	13	13	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10548_c0_g1(+)	jurtina.TRINITY_DN10548_c0_g1	NA	147	0	0	147	287	287	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10556_c0_g1(+)	jurtina.TRINITY_DN10556_c0_g1	OG0001630	274	0	0	274	527	527	0	0	0	0	0.0	0.0	0.0	0.0	110	109	0	0	1	0	0.00909091	0.00909091	0.00454545	0.0060606
maniola_jurtina	TRINITY_DN10586_c0_g1(+)	jurtina.TRINITY_DN10586_c0_g1	NA	19	0	0	19	38	38	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10590_c0_g1(+)	jurtina.TRINITY_DN10590_c0_g1	NA	93	0	0	93	176	176	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10620_c0_g1(+)	jurtina.TRINITY_DN10620_c0_g1	NA	49	0	0	49	87	87	0	0	0	0	0.0	0.0	0.0	0.0	23	21	1	1	0	0	0.04347826	0.04347826	0.04347826	0.04347826
maniola_jurtina	TRINITY_DN10633_c0_g1(+)	jurtina.TRINITY_DN10633_c0_g1	NA	28	0	0	28	49	49	0	0	0	0	0.0	0.0	0.0	0.0	15	13	0	0	0	2	0.0	0.0	0.13333333	0.08888889
maniola_jurtina	TRINITY_DN10635_c0_g1(+)	jurtina.TRINITY_DN10635_c0_g1	NA	112	0	0	112	204	204	0	0	0	0	0.0	0.0	0.0	0.0	36	35	0	0	1	0	0.02777778	0.02777778	0.01388889	0.01851852
maniola_jurtina	TRINITY_DN10651_c0_g1(+)	jurtina.TRINITY_DN10651_c0_g1	NA	104	0	0	104	203	203	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10653_c0_g1(+)	jurtina.TRINITY_DN10653_c0_g1	NA	69	0	0	69	129	129	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10680_c0_g1(+)	jurtina.TRINITY_DN10680_c0_g1	NA	13	0	0	13	24	24	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10684_c0_g1(+)	jurtina.TRINITY_DN10684_c0_g1	OG0001955	270	0	0	270	513	512	0	0	1	0	0.00194932	0.00194932	0.00097466	0.00129955	99	97	1	0	1	0	0.02020202	0.01010101	0.01010101	0.01178451
maniola_jurtina	TRINITY_DN10687_c0_g1(-)	jurtina.TRINITY_DN10687_c0_g1	NA	134	0	0	134	256	256	0	0	0	0	0.0	0.0	0.0	0.0	51	51	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10697_c0_g1(+)	jurtina.TRINITY_DN10697_c0_g1	NA	153	0	0	153	296	296	0	0	0	0	0.0	0.0	0.0	0.0	65	63	1	0	1	0	0.03076923	0.01538462	0.01538462	0.01794872
maniola_jurtina	TRINITY_DN10702_c0_g1(+)	jurtina.TRINITY_DN10702_c0_g1	NA	121	0	0	121	223	223	0	0	0	0	0.0	0.0	0.0	0.0	56	54	0	1	0	1	0.0	0.01785714	0.02678571	0.02083333
maniola_jurtina	TRINITY_DN10703_c0_g1(+)	jurtina.TRINITY_DN10703_c0_g1	NA	2	0	0	2	3	3	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10710_c0_g1(+)	jurtina.TRINITY_DN10710_c0_g1	NA	13	0	0	13	20	20	0	0	0	0	0.0	0.0	0.0	0.0	8	6	1	1	0	0	0.125	0.125	0.125	0.125
maniola_jurtina	TRINITY_DN10728_c0_g1(+)	jurtina.TRINITY_DN10728_c0_g1	NA	59	0	0	59	111	111	0	0	0	0	0.0	0.0	0.0	0.0	31	31	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10737_c0_g1(-)	jurtina.TRINITY_DN10737_c0_g1	NA	26	0	0	26	54	53	0	1	0	0	0.0	0.01851852	0.00925926	0.00925926	6	6	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN10748_c0_g1(+)	jurtina.TRINITY_DN10748_c0_g1	NA	219	0	0	219	426	425	1	0	0	0	0.00234742	0.0	0.00117371	0.00117371	100	98	1	1	0	0	0.01	0.01	0.01	0.01
