species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_II_116	0_pi_II_368	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_II_116	4_pi_II_368	4_pi_between	4_pi_total
inachis_io	TRINITY_DN517_c0_g1(+)	io.TRINITY_DN517_c0_g1	NA	192	0	0	192	369	369	0	0	0	0	0.0	0.0	0.0	0.0	95	95	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN526_c0_g1(+)	io.TRINITY_DN526_c0_g1	NA	56	0	0	56	111	111	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN539_c0_g1(+)	io.TRINITY_DN539_c0_g1	NA	405	0	0	405	791	791	0	0	0	0	0.0	0.0	0.0	0.0	166	166	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN575_c0_g1(+)	io.TRINITY_DN575_c0_g1	NA	18	0	0	18	38	38	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN646_c0_g1(+)	io.TRINITY_DN646_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
inachis_io	TRINITY_DN659_c0_g1(+)	io.TRINITY_DN659_c0_g1	NA	35	0	0	35	66	66	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1113_c0_g1(+)	io.TRINITY_DN1113_c0_g1	NA	321	0	0	321	612	612	0	0	0	0	0.0	0.0	0.0	0.0	135	135	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1265_c0_g1(+)	io.TRINITY_DN1265_c0_g1	NA	45	0	0	45	82	82	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1303_c0_g1(+)	io.TRINITY_DN1303_c0_g1	NA	267	0	0	267	504	504	0	0	0	0	0.0	0.0	0.0	0.0	105	104	0	1	0	0	0.0	0.00952381	0.0047619	0.0047619
inachis_io	TRINITY_DN1339_c0_g1(+)	io.TRINITY_DN1339_c0_g1	NA	247	0	0	247	482	481	0	1	0	0	0.0	0.00207469	0.00103734	0.00103734	123	123	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1452_c0_g1(+)	io.TRINITY_DN1452_c0_g1	NA	568	0	0	568	1094	1094	0	0	0	0	0.0	0.0	0.0	0.0	275	275	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1528_c0_g1(+)	io.TRINITY_DN1528_c0_g1	NA	59	0	0	59	115	115	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1553_c0_g1(+)	io.TRINITY_DN1553_c0_g1	NA	470	0	0	470	901	901	0	0	0	0	0.0	0.0	0.0	0.0	197	197	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1640_c0_g1(+)	io.TRINITY_DN1640_c0_g1	NA	97	0	0	97	185	185	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1692_c0_g1(+)	io.TRINITY_DN1692_c0_g1	NA	28	0	0	28	54	54	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1740_c0_g1(+)	io.TRINITY_DN1740_c0_g1	NA	232	0	0	232	453	453	0	0	0	0	0.0	0.0	0.0	0.0	85	85	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1805_c0_g1(+)	io.TRINITY_DN1805_c0_g1	NA	407	0	0	407	796	796	0	0	0	0	0.0	0.0	0.0	0.0	132	131	0	1	0	0	0.0	0.00757576	0.00378788	0.00378788
inachis_io	TRINITY_DN1903_c0_g1(+)	io.TRINITY_DN1903_c0_g1	NA	89	0	0	89	172	172	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1916_c0_g1(+)	io.TRINITY_DN1916_c0_g1	NA	172	0	0	172	334	334	0	0	0	0	0.0	0.0	0.0	0.0	56	56	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN1948_c0_g1(+)	io.TRINITY_DN1948_c0_g1	NA	1	0	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
inachis_io	TRINITY_DN1989_c0_g1(+)	io.TRINITY_DN1989_c0_g1	OG0001270	174	0	0	174	329	329	0	0	0	0	0.0	0.0	0.0	0.0	65	64	0	1	0	0	0.0	0.01538462	0.00769231	0.00769231
inachis_io	TRINITY_DN2006_c0_g1(+)	io.TRINITY_DN2006_c0_g1	OG0001810	177	0	0	177	336	336	0	0	0	0	0.0	0.0	0.0	0.0	77	77	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2059_c0_g1(+)	io.TRINITY_DN2059_c0_g1	NA	126	0	0	126	234	234	0	0	0	0	0.0	0.0	0.0	0.0	63	63	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2081_c0_g1(-)	io.TRINITY_DN2081_c0_g1	NA	9	0	0	9	17	17	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2089_c0_g1(+)	io.TRINITY_DN2089_c0_g1	NA	150	0	0	150	284	284	0	0	0	0	0.0	0.0	0.0	0.0	66	66	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2091_c0_g2(+)	io.TRINITY_DN2091_c0_g2	NA	123	0	0	123	243	243	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2111_c0_g1(+)	io.TRINITY_DN2111_c0_g1	NA	293	0	0	293	560	560	0	0	0	0	0.0	0.0	0.0	0.0	108	108	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2135_c0_g1(+)	io.TRINITY_DN2135_c0_g1	NA	125	0	0	125	234	234	0	0	0	0	0.0	0.0	0.0	0.0	43	42	1	0	0	0	0.02325581	0.0	0.01162791	0.01162791
inachis_io	TRINITY_DN2141_c0_g1(+)	io.TRINITY_DN2141_c0_g1	NA	205	0	0	205	393	393	0	0	0	0	0.0	0.0	0.0	0.0	63	63	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2143_c0_g1(+)	io.TRINITY_DN2143_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2155_c0_g1(+)	io.TRINITY_DN2155_c0_g1	NA	153	0	0	153	297	297	0	0	0	0	0.0	0.0	0.0	0.0	64	64	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2235_c0_g1(+)	io.TRINITY_DN2235_c0_g1	NA	61	0	0	61	117	117	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2368_c0_g1(+)	io.TRINITY_DN2368_c0_g1	NA	126	0	0	126	236	236	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2474_c0_g1(+)	io.TRINITY_DN2474_c0_g1	OG0002287	123	0	0	123	233	232	0	1	0	0	0.0	0.00429185	0.00214592	0.00214592	35	35	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2553_c0_g1(+)	io.TRINITY_DN2553_c0_g1	NA	68	0	0	68	133	133	0	0	0	0	0.0	0.0	0.0	0.0	43	42	1	0	0	0	0.02325581	0.0	0.01162791	0.01162791
inachis_io	TRINITY_DN2617_c0_g1(+)	io.TRINITY_DN2617_c0_g1	NA	206	0	0	206	404	404	0	0	0	0	0.0	0.0	0.0	0.0	88	88	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2680_c0_g1(+)	io.TRINITY_DN2680_c0_g1	NA	187	0	0	187	352	352	0	0	0	0	0.0	0.0	0.0	0.0	81	81	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2717_c0_g1(+)	io.TRINITY_DN2717_c0_g1	NA	32	0	0	32	64	64	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2718_c0_g1(+)	io.TRINITY_DN2718_c0_g1	NA	52	0	0	52	96	96	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN2762_c0_g1(-)	io.TRINITY_DN2762_c0_g1	NA	11	0	0	11	25	25	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3001_c0_g1(-)	io.TRINITY_DN3001_c0_g1	NA	17	0	0	17	28	25	0	0	3	0	0.10714286	0.10714286	0.05357143	0.07142857	4	3	0	0	1	0	0.25	0.25	0.125	0.16666667
inachis_io	TRINITY_DN3034_c0_g1(+)	io.TRINITY_DN3034_c0_g1	NA	121	0	0	121	230	230	0	0	0	0	0.0	0.0	0.0	0.0	45	45	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3075_c0_g1(+)	io.TRINITY_DN3075_c0_g1	NA	100	0	0	100	193	193	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3203_c0_g1(+)	io.TRINITY_DN3203_c0_g1	NA	88	0	0	88	175	175	0	0	0	0	0.0	0.0	0.0	0.0	42	41	1	0	0	0	0.02380952	0.0	0.01190476	0.01190476
inachis_io	TRINITY_DN3221_c0_g1(+)	io.TRINITY_DN3221_c0_g1	NA	131	0	0	131	251	251	0	0	0	0	0.0	0.0	0.0	0.0	68	68	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3316_c0_g1(+)	io.TRINITY_DN3316_c0_g1	NA	111	0	0	111	209	209	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3498_c0_g1(+)	io.TRINITY_DN3498_c0_g1	NA	41	0	0	41	75	75	0	0	0	0	0.0	0.0	0.0	0.0	15	15	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3521_c0_g1(+)	io.TRINITY_DN3521_c0_g1	NA	186	0	0	186	359	359	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3528_c0_g1(+)	io.TRINITY_DN3528_c0_g1	NA	150	0	0	150	305	305	0	0	0	0	0.0	0.0	0.0	0.0	77	77	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3531_c0_g1(+)	io.TRINITY_DN3531_c0_g1	NA	11	0	0	11	20	20	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3901_c0_g1(+)	io.TRINITY_DN3901_c0_g1	NA	212	0	0	212	407	407	0	0	0	0	0.0	0.0	0.0	0.0	83	82	1	0	0	0	0.01204819	0.0	0.0060241	0.0060241
inachis_io	TRINITY_DN3920_c0_g2(+)	io.TRINITY_DN3920_c0_g2	NA	70	0	0	70	136	136	0	0	0	0	0.0	0.0	0.0	0.0	38	38	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN3980_c0_g1(+)	io.TRINITY_DN3980_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4063_c0_g1(+)	io.TRINITY_DN4063_c0_g1	NA	12	0	0	12	23	23	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4087_c0_g1(-)	io.TRINITY_DN4087_c0_g1	NA	34	0	0	34	66	66	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4165_c0_g1(+)	io.TRINITY_DN4165_c0_g1	NA	400	0	0	400	777	777	0	0	0	0	0.0	0.0	0.0	0.0	139	139	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4247_c0_g1(+)	io.TRINITY_DN4247_c0_g1	NA	78	0	0	78	161	161	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4268_c0_g1(+)	io.TRINITY_DN4268_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4374_c0_g1(+)	io.TRINITY_DN4374_c0_g1	OG0001820	160	0	0	160	317	317	0	0	0	0	0.0	0.0	0.0	0.0	61	61	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4495_c0_g1(+)	io.TRINITY_DN4495_c0_g1	NA	210	0	0	210	400	400	0	0	0	0	0.0	0.0	0.0	0.0	88	88	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4498_c0_g1(+)	io.TRINITY_DN4498_c0_g1	NA	267	0	0	267	511	511	0	0	0	0	0.0	0.0	0.0	0.0	103	103	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4520_c0_g1(+)	io.TRINITY_DN4520_c0_g1	NA	63	0	0	63	118	118	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4555_c0_g1(-)	io.TRINITY_DN4555_c0_g1	NA	44	0	0	44	84	84	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4611_c0_g1(+)	io.TRINITY_DN4611_c0_g1	NA	204	0	0	204	389	389	0	0	0	0	0.0	0.0	0.0	0.0	74	73	0	1	0	0	0.0	0.01351351	0.00675676	0.00675676
inachis_io	TRINITY_DN4614_c0_g1(+)	io.TRINITY_DN4614_c0_g1	NA	9	0	0	9	15	15	0	0	0	0	0.0	0.0	0.0	0.0	6	5	1	0	0	0	0.16666667	0.0	0.08333333	0.08333333
inachis_io	TRINITY_DN4707_c0_g1(-)	io.TRINITY_DN4707_c0_g1	NA	52	0	0	52	98	98	0	0	0	0	0.0	0.0	0.0	0.0	16	15	1	0	0	0	0.0625	0.0	0.03125	0.03125
inachis_io	TRINITY_DN4879_c0_g1(+)	io.TRINITY_DN4879_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4905_c0_g1(+)	io.TRINITY_DN4905_c0_g1	OG0001795	332	0	0	332	660	660	0	0	0	0	0.0	0.0	0.0	0.0	101	101	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN4922_c0_g1(+)	io.TRINITY_DN4922_c0_g1	OG0004190	152	0	0	152	289	289	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5097_c0_g1(-)	io.TRINITY_DN5097_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5133_c0_g1(+)	io.TRINITY_DN5133_c0_g1	NA	150	0	0	150	285	285	0	0	0	0	0.0	0.0	0.0	0.0	67	67	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5220_c0_g1(+)	io.TRINITY_DN5220_c0_g1	NA	173	0	0	173	342	342	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5236_c0_g1(+)	io.TRINITY_DN5236_c0_g1	NA	107	0	0	107	210	210	0	0	0	0	0.0	0.0	0.0	0.0	45	45	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5382_c0_g1(+)	io.TRINITY_DN5382_c0_g1	NA	97	0	0	97	176	176	0	0	0	0	0.0	0.0	0.0	0.0	32	31	1	0	0	0	0.03125	0.0	0.015625	0.015625
inachis_io	TRINITY_DN5514_c0_g1(+)	io.TRINITY_DN5514_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5524_c0_g1(+)	io.TRINITY_DN5524_c0_g1	OG0001860	187	0	0	187	363	362	1	0	0	0	0.00275482	0.0	0.00137741	0.00137741	72	72	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5545_c0_g1(+)	io.TRINITY_DN5545_c0_g1	NA	113	0	0	113	215	215	0	0	0	0	0.0	0.0	0.0	0.0	39	39	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN5942_c0_g1(+)	io.TRINITY_DN5942_c0_g1	NA	301	0	0	301	586	586	0	0	0	0	0.0	0.0	0.0	0.0	117	116	1	0	0	0	0.00854701	0.0	0.0042735	0.0042735
inachis_io	TRINITY_DN5948_c0_g1(+)	io.TRINITY_DN5948_c0_g1	NA	22	0	0	22	41	41	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6043_c0_g1(+)	io.TRINITY_DN6043_c0_g1	NA	10	0	0	10	20	20	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6084_c0_g1(+)	io.TRINITY_DN6084_c0_g1	NA	248	0	0	248	472	472	0	0	0	0	0.0	0.0	0.0	0.0	102	101	1	0	0	0	0.00980392	0.0	0.00490196	0.00490196
inachis_io	TRINITY_DN6116_c0_g1(+)	io.TRINITY_DN6116_c0_g1	NA	61	0	0	61	118	118	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6203_c0_g1(-)	io.TRINITY_DN6203_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6601_c0_g1(+)	io.TRINITY_DN6601_c0_g1	OG0001312	403	0	0	403	778	778	0	0	0	0	0.0	0.0	0.0	0.0	181	180	0	1	0	0	0.0	0.00552486	0.00276243	0.00276243
inachis_io	TRINITY_DN6659_c0_g1(+)	io.TRINITY_DN6659_c0_g1	NA	167	0	0	167	316	315	0	0	1	0	0.00316456	0.00316456	0.00158228	0.00210971	102	102	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6731_c0_g1(+)	io.TRINITY_DN6731_c0_g1	NA	8	0	0	8	14	14	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6746_c0_g1(+)	io.TRINITY_DN6746_c0_g1	NA	117	0	0	117	220	220	0	0	0	0	0.0	0.0	0.0	0.0	48	48	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6751_c0_g1(-)	io.TRINITY_DN6751_c0_g1	NA	48	0	0	48	95	95	0	0	0	0	0.0	0.0	0.0	0.0	18	17	1	0	0	0	0.05555556	0.0	0.02777778	0.02777778
inachis_io	TRINITY_DN6788_c0_g1(+)	io.TRINITY_DN6788_c0_g1	NA	10	0	0	10	19	19	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6927_c0_g1(+)	io.TRINITY_DN6927_c0_g1	NA	114	0	0	114	219	219	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN6998_c0_g1(+)	io.TRINITY_DN6998_c0_g1	NA	247	0	0	247	477	477	0	0	0	0	0.0	0.0	0.0	0.0	104	104	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7002_c0_g1(+)	io.TRINITY_DN7002_c0_g1	NA	93	0	0	93	186	186	0	0	0	0	0.0	0.0	0.0	0.0	39	39	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7009_c0_g1(+)	io.TRINITY_DN7009_c0_g1	NA	410	0	0	410	785	785	0	0	0	0	0.0	0.0	0.0	0.0	177	176	0	1	0	0	0.0	0.00564972	0.00282486	0.00282486
inachis_io	TRINITY_DN7223_c0_g1(+)	io.TRINITY_DN7223_c0_g1	NA	877	0	0	877	1680	1680	0	0	0	0	0.0	0.0	0.0	0.0	415	414	0	0	0	1	0.0	0.0	0.00240964	0.00160643
inachis_io	TRINITY_DN7232_c0_g1(+)	io.TRINITY_DN7232_c0_g1	NA	184	0	0	184	366	366	0	0	0	0	0.0	0.0	0.0	0.0	71	71	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7315_c0_g1(+)	io.TRINITY_DN7315_c0_g1	NA	238	0	0	238	461	461	0	0	0	0	0.0	0.0	0.0	0.0	91	91	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7360_c0_g1(+)	io.TRINITY_DN7360_c0_g1	NA	146	0	0	146	276	276	0	0	0	0	0.0	0.0	0.0	0.0	62	61	1	0	0	0	0.01612903	0.0	0.00806452	0.00806452
inachis_io	TRINITY_DN7397_c0_g1(+)	io.TRINITY_DN7397_c0_g1	NA	316	0	0	316	627	627	0	0	0	0	0.0	0.0	0.0	0.0	128	128	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7546_c0_g1(+)	io.TRINITY_DN7546_c0_g1	OG0003144	469	0	0	469	912	912	0	0	0	0	0.0	0.0	0.0	0.0	166	166	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7623_c0_g1(+)	io.TRINITY_DN7623_c0_g1	NA	157	0	0	157	298	298	0	0	0	0	0.0	0.0	0.0	0.0	65	65	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7626_c0_g1(+)	io.TRINITY_DN7626_c0_g1	NA	309	0	0	309	595	595	0	0	0	0	0.0	0.0	0.0	0.0	105	105	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7642_c0_g1(+)	io.TRINITY_DN7642_c0_g1	NA	91	0	0	91	178	178	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7661_c0_g1(+)	io.TRINITY_DN7661_c0_g1	NA	128	0	0	128	247	247	0	0	0	0	0.0	0.0	0.0	0.0	58	58	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7680_c0_g1(+)	io.TRINITY_DN7680_c0_g1	OG0001868	128	0	0	128	241	241	0	0	0	0	0.0	0.0	0.0	0.0	54	54	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7743_c0_g1(+)	io.TRINITY_DN7743_c0_g1	NA	165	0	1	164	324	324	0	0	0	0	0.0	0.0	0.0	0.0	71	71	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN7890_c0_g1(+)	io.TRINITY_DN7890_c0_g1	NA	36	0	0	36	76	76	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN8048_c0_g1(+)	io.TRINITY_DN8048_c0_g1	NA	171	0	0	171	327	327	0	0	0	0	0.0	0.0	0.0	0.0	73	73	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN8099_c0_g1(+)	io.TRINITY_DN8099_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN8165_c0_g1(+)	io.TRINITY_DN8165_c0_g1	NA	423	0	0	423	812	812	0	0	0	0	0.0	0.0	0.0	0.0	180	179	0	1	0	0	0.0	0.00555556	0.00277778	0.00277778
inachis_io	TRINITY_DN8459_c0_g1(+)	io.TRINITY_DN8459_c0_g1	NA	226	0	0	226	428	428	0	0	0	0	0.0	0.0	0.0	0.0	66	66	0	0	0	0	0.0	0.0	0.0	0.0
