species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_OV_231	0_pi_OV_353	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_OV_231	4_pi_OV_353	4_pi_between	4_pi_total
ochlodes_venatus	TRINITY_DN4493_c0_g1(+)	venatus.TRINITY_DN4493_c0_g1	NA	190	0	0	190	364	364	0	0	0	0	0.0	0.0	0.0	0.0	68	68	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN4781_c0_g1(+)	venatus.TRINITY_DN4781_c0_g1	NA	44	0	0	44	86	86	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN4785_c0_g1(+)	venatus.TRINITY_DN4785_c0_g1	NA	43	0	0	43	72	71	0	0	0	1	0.0	0.0	0.01388889	0.00925926	25	24	0	0	0	1	0.0	0.0	0.04	0.02666667
ochlodes_venatus	TRINITY_DN4888_c0_g1(-)	venatus.TRINITY_DN4888_c0_g1	NA	2	0	0	2	3	3	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN4899_c0_g1(+)	venatus.TRINITY_DN4899_c0_g1	NA	2	0	1	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
ochlodes_venatus	TRINITY_DN5288_c0_g1(-)	venatus.TRINITY_DN5288_c0_g1	NA	35	0	0	35	65	64	0	1	0	0	0.0	0.01538462	0.00769231	0.00769231	17	17	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN5384_c0_g1(+)	venatus.TRINITY_DN5384_c0_g1	OG0001817	438	0	0	438	829	829	0	0	0	0	0.0	0.0	0.0	0.0	131	131	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN5572_c0_g1(+)	venatus.TRINITY_DN5572_c0_g1	NA	115	0	0	115	225	224	1	0	0	0	0.00444444	0.0	0.00222222	0.00222222	37	37	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN5869_c0_g1(+)	venatus.TRINITY_DN5869_c0_g1	NA	147	0	0	147	288	288	0	0	0	0	0.0	0.0	0.0	0.0	76	76	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN5875_c0_g1(-)	venatus.TRINITY_DN5875_c0_g1	NA	43	0	0	43	81	80	1	0	0	0	0.01234568	0.0	0.00617284	0.00617284	13	13	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN6074_c0_g1(+)	venatus.TRINITY_DN6074_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN6329_c0_g1(+)	venatus.TRINITY_DN6329_c0_g1	NA	64	0	0	64	127	127	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN6592_c0_g1(+)	venatus.TRINITY_DN6592_c0_g1	NA	63	0	0	63	119	119	0	0	0	0	0.0	0.0	0.0	0.0	24	22	0	2	0	0	0.0	0.08333333	0.04166667	0.04166667
ochlodes_venatus	TRINITY_DN6668_c0_g1(+)	venatus.TRINITY_DN6668_c0_g1	NA	14	0	0	14	26	26	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN6834_c0_g1(+)	venatus.TRINITY_DN6834_c0_g1	NA	44	0	1	43	84	83	0	1	0	0	0.0	0.01190476	0.00595238	0.00595238	12	12	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN6997_c0_g1(+)	venatus.TRINITY_DN6997_c0_g1	NA	66	0	1	65	122	122	0	0	0	0	0.0	0.0	0.0	0.0	30	30	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN7293_c0_g1(-)	venatus.TRINITY_DN7293_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
ochlodes_venatus	TRINITY_DN7601_c0_g1(+)	venatus.TRINITY_DN7601_c0_g1	NA	2	0	0	2	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN8312_c0_g1(-)	venatus.TRINITY_DN8312_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN9326_c0_g1(+)	venatus.TRINITY_DN9326_c0_g1	NA	47	0	0	47	88	88	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN9470_c0_g1(+)	venatus.TRINITY_DN9470_c0_g1	NA	57	0	0	57	108	108	0	0	0	0	0.0	0.0	0.0	0.0	21	20	1	0	0	0	0.04761905	0.0	0.02380952	0.02380952
ochlodes_venatus	TRINITY_DN9631_c0_g1(+)	venatus.TRINITY_DN9631_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10044_c0_g1(+)	venatus.TRINITY_DN10044_c0_g1	NA	218	0	0	218	419	419	0	0	0	0	0.0	0.0	0.0	0.0	94	94	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10087_c0_g1(+)	venatus.TRINITY_DN10087_c0_g1	NA	57	0	0	57	109	109	0	0	0	0	0.0	0.0	0.0	0.0	42	41	0	0	0	1	0.0	0.0	0.02380952	0.01587301
ochlodes_venatus	TRINITY_DN10219_c0_g1(+)	venatus.TRINITY_DN10219_c0_g1	NA	218	0	0	218	425	425	0	0	0	0	0.0	0.0	0.0	0.0	100	100	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10261_c0_g1(+)	venatus.TRINITY_DN10261_c0_g1	NA	411	0	0	411	791	791	0	0	0	0	0.0	0.0	0.0	0.0	140	140	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10432_c0_g1(+)	venatus.TRINITY_DN10432_c0_g1	OG0002150	136	0	0	136	267	267	0	0	0	0	0.0	0.0	0.0	0.0	54	54	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10501_c0_g1(+)	venatus.TRINITY_DN10501_c0_g1	NA	73	0	0	73	138	138	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10546_c0_g1(-)	venatus.TRINITY_DN10546_c0_g1	NA	6	0	0	6	9	9	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10654_c0_g1(-)	venatus.TRINITY_DN10654_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
ochlodes_venatus	TRINITY_DN10708_c0_g1(+)	venatus.TRINITY_DN10708_c0_g1	NA	178	0	0	178	342	342	0	0	0	0	0.0	0.0	0.0	0.0	71	71	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10748_c0_g1(+)	venatus.TRINITY_DN10748_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10823_c0_g1(+)	venatus.TRINITY_DN10823_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10867_c0_g1(+)	venatus.TRINITY_DN10867_c0_g1	NA	32	0	0	32	63	62	0	0	0	1	0.0	0.0	0.01587302	0.01058201	11	11	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10879_c0_g1(-)	venatus.TRINITY_DN10879_c0_g1	NA	28	0	0	28	51	51	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10896_c0_g1(-)	venatus.TRINITY_DN10896_c0_g1	NA	11	0	0	11	23	23	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN10950_c0_g1(+)	venatus.TRINITY_DN10950_c0_g1	NA	111	0	0	111	221	220	0	1	0	0	0.0	0.00452489	0.00226244	0.00226244	26	26	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN11061_c0_g1(-)	venatus.TRINITY_DN11061_c0_g1	NA	16	0	0	16	30	30	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN11101_c0_g1(+)	venatus.TRINITY_DN11101_c0_g1	NA	143	0	0	143	272	272	0	0	0	0	0.0	0.0	0.0	0.0	45	44	0	0	0	1	0.0	0.0	0.02222222	0.01481481
ochlodes_venatus	TRINITY_DN11125_c0_g1(+)	venatus.TRINITY_DN11125_c0_g1	NA	19	0	0	19	35	35	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN11227_c0_g1(+)	venatus.TRINITY_DN11227_c0_g1	NA	38	0	0	38	74	74	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN11285_c0_g1(+)	venatus.TRINITY_DN11285_c0_g1	OG0002513	791	0	0	791	1522	1521	0	1	0	0	0.0	0.00065703	0.00032852	0.00032852	297	297	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN11450_c1_g2(+)	venatus.TRINITY_DN11450_c1_g2	NA	9	0	0	9	14	13	0	0	1	0	0.07142857	0.07142857	0.03571429	0.04761905	4	3	0	0	1	0	0.25	0.25	0.125	0.16666667
ochlodes_venatus	TRINITY_DN11481_c0_g1(+)	venatus.TRINITY_DN11481_c0_g1	NA	180	0	0	180	345	344	0	1	0	0	0.0	0.00289855	0.00144928	0.00144928	79	77	0	2	0	0	0.0	0.02531646	0.01265823	0.01265823
ochlodes_venatus	TRINITY_DN11614_c0_g1(-)	venatus.TRINITY_DN11614_c0_g1	NA	61	0	0	61	108	107	0	1	0	0	0.0	0.00925926	0.00462963	0.00462963	34	34	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN11635_c0_g1(-)	venatus.TRINITY_DN11635_c0_g1	NA	40	0	0	40	71	70	1	0	0	0	0.01408451	0.0	0.00704225	0.00704225	12	10	2	0	0	0	0.16666667	0.0	0.08333333	0.08333333
ochlodes_venatus	TRINITY_DN11757_c0_g1(+)	venatus.TRINITY_DN11757_c0_g1	NA	40	0	0	40	72	69	0	2	1	0	0.01388889	0.04166667	0.02083333	0.02314815	14	12	0	2	0	0	0.0	0.14285714	0.07142857	0.07142857
ochlodes_venatus	TRINITY_DN12147_c0_g1(+)	venatus.TRINITY_DN12147_c0_g1	NA	145	0	0	145	282	282	0	0	0	0	0.0	0.0	0.0	0.0	57	57	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN12404_c0_g1(+)	venatus.TRINITY_DN12404_c0_g1	NA	30	0	0	30	55	55	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN12503_c0_g1(+)	venatus.TRINITY_DN12503_c0_g1	NA	24	0	0	24	49	49	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN12757_c0_g1(+)	venatus.TRINITY_DN12757_c0_g1	OG0001347	252	0	0	252	478	477	0	0	0	1	0.0	0.0	0.00209205	0.0013947	88	87	0	1	0	0	0.0	0.01136364	0.00568182	0.00568182
ochlodes_venatus	TRINITY_DN12781_c0_g1(+)	venatus.TRINITY_DN12781_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN12860_c1_g1(-)	venatus.TRINITY_DN12860_c1_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN12881_c0_g1(-)	venatus.TRINITY_DN12881_c0_g1	NA	71	0	0	71	133	133	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN12902_c0_g1(+)	venatus.TRINITY_DN12902_c0_g1	NA	14	0	0	14	22	21	0	0	0	1	0.0	0.0	0.04545455	0.03030303	2	2	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN12926_c0_g1(+)	venatus.TRINITY_DN12926_c0_g1	NA	190	0	0	190	368	368	0	0	0	0	0.0	0.0	0.0	0.0	76	75	1	0	0	0	0.01315789	0.0	0.00657895	0.00657895
ochlodes_venatus	TRINITY_DN12985_c0_g1(+)	venatus.TRINITY_DN12985_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13074_c0_g1(+)	venatus.TRINITY_DN13074_c0_g1	NA	92	0	0	92	175	175	0	0	0	0	0.0	0.0	0.0	0.0	35	34	0	1	0	0	0.0	0.02857143	0.01428571	0.01428571
ochlodes_venatus	TRINITY_DN13080_c0_g1(+)	venatus.TRINITY_DN13080_c0_g1	NA	43	0	0	43	84	84	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13128_c0_g1(+)	venatus.TRINITY_DN13128_c0_g1	NA	144	0	0	144	282	281	0	1	0	0	0.0	0.0035461	0.00177305	0.00177305	55	55	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13196_c0_g1(+)	venatus.TRINITY_DN13196_c0_g1	NA	25	0	0	25	49	49	0	0	0	0	0.0	0.0	0.0	0.0	8	7	1	0	0	0	0.125	0.0	0.0625	0.0625
ochlodes_venatus	TRINITY_DN13343_c0_g1(+)	venatus.TRINITY_DN13343_c0_g1	NA	27	0	0	27	50	50	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13592_c0_g1(+)	venatus.TRINITY_DN13592_c0_g1	NA	69	0	0	69	124	123	1	0	0	0	0.00806452	0.0	0.00403226	0.00403226	27	27	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13677_c0_g1(-)	venatus.TRINITY_DN13677_c0_g1	NA	9	0	0	9	18	18	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13781_c0_g2(-)	venatus.TRINITY_DN13781_c0_g2	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13898_c0_g1(+)	venatus.TRINITY_DN13898_c0_g1	NA	129	0	0	129	245	244	0	1	0	0	0.0	0.00408163	0.00204082	0.00204082	44	44	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN13921_c0_g1(+)	venatus.TRINITY_DN13921_c0_g1	NA	3	0	0	3	5	5	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14000_c0_g1(-)	venatus.TRINITY_DN14000_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14137_c0_g1(+)	venatus.TRINITY_DN14137_c0_g1	NA	117	0	0	117	218	218	0	0	0	0	0.0	0.0	0.0	0.0	45	45	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14152_c0_g1(+)	venatus.TRINITY_DN14152_c0_g1	NA	55	0	0	55	110	110	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14257_c0_g1(+)	venatus.TRINITY_DN14257_c0_g1	NA	49	0	0	49	91	90	1	0	0	0	0.01098901	0.0	0.00549451	0.00549451	20	20	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14282_c0_g1(+)	venatus.TRINITY_DN14282_c0_g1	NA	124	0	0	124	241	240	0	0	0	1	0.0	0.0	0.00414938	0.00276625	63	62	1	0	0	0	0.01587302	0.0	0.00793651	0.00793651
ochlodes_venatus	TRINITY_DN14335_c0_g1(+)	venatus.TRINITY_DN14335_c0_g1	NA	107	0	0	107	214	214	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14361_c0_g1(+)	venatus.TRINITY_DN14361_c0_g1	NA	12	0	0	12	23	23	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14401_c0_g1(+)	venatus.TRINITY_DN14401_c0_g1	NA	341	0	0	341	654	654	0	0	0	0	0.0	0.0	0.0	0.0	135	135	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14411_c0_g1(+)	venatus.TRINITY_DN14411_c0_g1	NA	597	0	0	597	1180	1179	1	0	0	0	0.00084746	0.0	0.00042373	0.00042373	219	218	0	1	0	0	0.0	0.00456621	0.00228311	0.00228311
ochlodes_venatus	TRINITY_DN14418_c0_g1(+)	venatus.TRINITY_DN14418_c0_g1	NA	271	0	0	271	517	515	2	0	0	0	0.00386847	0.0	0.00193424	0.00193424	84	83	1	0	0	0	0.01190476	0.0	0.00595238	0.00595238
ochlodes_venatus	TRINITY_DN14424_c0_g1(+)	venatus.TRINITY_DN14424_c0_g1	NA	103	0	0	103	195	195	0	0	0	0	0.0	0.0	0.0	0.0	63	63	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14440_c0_g1(+)	venatus.TRINITY_DN14440_c0_g1	NA	3	0	0	3	4	4	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14471_c0_g1(+)	venatus.TRINITY_DN14471_c0_g1	NA	410	0	0	410	792	792	0	0	0	0	0.0	0.0	0.0	0.0	168	168	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14475_c0_g1(+)	venatus.TRINITY_DN14475_c0_g1	OG0001283	151	0	0	151	290	290	0	0	0	0	0.0	0.0	0.0	0.0	57	57	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14481_c0_g1(+)	venatus.TRINITY_DN14481_c0_g1	NA	649	0	0	649	1255	1255	0	0	0	0	0.0	0.0	0.0	0.0	219	218	1	0	0	0	0.00456621	0.0	0.00228311	0.00228311
ochlodes_venatus	TRINITY_DN14485_c0_g1(-)	venatus.TRINITY_DN14485_c0_g1	NA	56	0	0	56	105	105	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14507_c0_g1(+)	venatus.TRINITY_DN14507_c0_g1	OG0003085	313	0	0	313	616	615	1	0	0	0	0.00162338	0.0	0.00081169	0.00081169	153	151	2	0	0	0	0.0130719	0.0	0.00653595	0.00653595
ochlodes_venatus	TRINITY_DN14621_c0_g1(-)	venatus.TRINITY_DN14621_c0_g1	NA	8	0	0	8	16	16	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
ochlodes_venatus	TRINITY_DN14649_c0_g1(+)	venatus.TRINITY_DN14649_c0_g1	NA	32	0	0	32	57	57	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14676_c0_g1(+)	venatus.TRINITY_DN14676_c0_g1	NA	108	0	0	108	204	203	0	1	0	0	0.0	0.00490196	0.00245098	0.00245098	38	37	0	1	0	0	0.0	0.02631579	0.01315789	0.01315789
ochlodes_venatus	TRINITY_DN14692_c0_g1(+)	venatus.TRINITY_DN14692_c0_g1	OG0001290	103	0	0	103	196	196	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN14712_c0_g1(+)	venatus.TRINITY_DN14712_c0_g1	NA	45	0	0	45	86	86	0	0	0	0	0.0	0.0	0.0	0.0	20	19	0	0	0	1	0.0	0.0	0.05	0.03333333
ochlodes_venatus	TRINITY_DN14750_c0_g1(+)	venatus.TRINITY_DN14750_c0_g1	NA	10	0	0	10	18	18	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
