species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_PI_162	0_pi_PI_39	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_PI_162	4_pi_PI_39	4_pi_between	4_pi_total
polyommatus_icarus	TRINITY_DN3088_c0_g1(+)	icarus.TRINITY_DN3088_c0_g1	NA	75	0	0	75	146	146	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN3735_c0_g1(+)	icarus.TRINITY_DN3735_c0_g1	NA	4	0	0	4	7	7	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN3954_c0_g1(+)	icarus.TRINITY_DN3954_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN4464_c0_g1(-)	icarus.TRINITY_DN4464_c0_g1	NA	19	0	0	19	39	39	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN5343_c0_g1(+)	icarus.TRINITY_DN5343_c0_g1	NA	68	0	1	67	123	123	0	0	0	0	0.0	0.0	0.0	0.0	32	30	0	2	0	0	0.0	0.0625	0.03125	0.03125
polyommatus_icarus	TRINITY_DN5382_c0_g1(+)	icarus.TRINITY_DN5382_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN5443_c0_g1(-)	icarus.TRINITY_DN5443_c0_g1	NA	10	0	0	10	20	20	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN5498_c0_g1(-)	icarus.TRINITY_DN5498_c0_g1	NA	6	0	0	6	10	10	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN5624_c0_g1(+)	icarus.TRINITY_DN5624_c0_g1	NA	17	0	1	16	27	26	0	0	1	0	0.03703704	0.03703704	0.01851852	0.02469136	4	4	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN5840_c0_g1(-)	icarus.TRINITY_DN5840_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN6511_c0_g1(-)	icarus.TRINITY_DN6511_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN6761_c0_g1(+)	icarus.TRINITY_DN6761_c0_g1	NA	98	0	0	98	184	184	0	0	0	0	0.0	0.0	0.0	0.0	37	35	0	2	0	0	0.0	0.05405405	0.02702703	0.02702703
polyommatus_icarus	TRINITY_DN6793_c0_g1(+)	icarus.TRINITY_DN6793_c0_g1	NA	74	0	0	74	134	134	0	0	0	0	0.0	0.0	0.0	0.0	23	22	0	1	0	0	0.0	0.04347826	0.02173913	0.02173913
polyommatus_icarus	TRINITY_DN6857_c0_g1(-)	icarus.TRINITY_DN6857_c0_g1	NA	5	0	0	5	8	8	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN6965_c0_g1(+)	icarus.TRINITY_DN6965_c0_g1	NA	16	0	0	16	29	29	0	0	0	0	0.0	0.0	0.0	0.0	10	9	0	0	0	1	0.0	0.0	0.1	0.06666667
polyommatus_icarus	TRINITY_DN7081_c0_g1(+)	icarus.TRINITY_DN7081_c0_g1	OG0003975	590	0	0	590	1123	1123	0	0	0	0	0.0	0.0	0.0	0.0	212	211	0	1	0	0	0.0	0.00471698	0.00235849	0.00235849
polyommatus_icarus	TRINITY_DN7229_c0_g1(+)	icarus.TRINITY_DN7229_c0_g1	NA	41	0	0	41	78	78	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN7345_c0_g1(-)	icarus.TRINITY_DN7345_c0_g1	NA	14	0	0	14	25	25	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN7346_c0_g1(+)	icarus.TRINITY_DN7346_c0_g1	NA	41	0	0	41	69	68	0	1	0	0	0.0	0.01449275	0.00724638	0.00724638	11	9	0	2	0	0	0.0	0.18181818	0.09090909	0.09090909
polyommatus_icarus	TRINITY_DN7422_c0_g1(+)	icarus.TRINITY_DN7422_c0_g1	OG0001290	46	0	0	46	88	88	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN7467_c0_g1(+)	icarus.TRINITY_DN7467_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN7539_c0_g1(+)	icarus.TRINITY_DN7539_c0_g1	NA	68	0	0	68	126	126	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN7540_c0_g1(+)	icarus.TRINITY_DN7540_c0_g1	NA	143	0	0	143	275	275	0	0	0	0	0.0	0.0	0.0	0.0	59	58	0	1	0	0	0.0	0.01694915	0.00847458	0.00847458
polyommatus_icarus	TRINITY_DN7585_c0_g1(-)	icarus.TRINITY_DN7585_c0_g1	NA	53	0	0	53	93	93	0	0	0	0	0.0	0.0	0.0	0.0	27	25	1	1	0	0	0.03703704	0.03703704	0.03703704	0.03703704
polyommatus_icarus	TRINITY_DN7719_c0_g1(-)	icarus.TRINITY_DN7719_c0_g1	NA	69	0	0	69	135	135	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN7945_c1_g1(+)	icarus.TRINITY_DN7945_c1_g1	NA	111	0	0	111	215	215	0	0	0	0	0.0	0.0	0.0	0.0	49	49	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN7987_c0_g1(+)	icarus.TRINITY_DN7987_c0_g1	NA	215	0	0	215	411	411	0	0	0	0	0.0	0.0	0.0	0.0	71	71	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN8097_c0_g1(+)	icarus.TRINITY_DN8097_c0_g1	NA	83	0	0	83	158	158	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN8199_c0_g1(+)	icarus.TRINITY_DN8199_c0_g1	NA	405	0	0	405	769	768	0	1	0	0	0.0	0.00130039	0.0006502	0.0006502	148	148	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN8246_c0_g1(+)	icarus.TRINITY_DN8246_c0_g1	NA	40	0	0	40	75	75	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN8365_c0_g1(+)	icarus.TRINITY_DN8365_c0_g1	NA	15	0	0	15	29	29	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN8404_c0_g1(+)	icarus.TRINITY_DN8404_c0_g1	OG0001878	275	0	1	274	531	531	0	0	0	0	0.0	0.0	0.0	0.0	114	113	0	0	0	1	0.0	0.0	0.00877193	0.00584795
polyommatus_icarus	TRINITY_DN8775_c0_g1(+)	icarus.TRINITY_DN8775_c0_g1	NA	82	0	0	82	153	152	0	0	1	0	0.00653595	0.00653595	0.00326797	0.0043573	26	26	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN8810_c0_g1(+)	icarus.TRINITY_DN8810_c0_g1	NA	36	0	0	36	69	69	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN8964_c0_g1(+)	icarus.TRINITY_DN8964_c0_g1	NA	23	0	0	23	47	47	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9001_c0_g2(+)	icarus.TRINITY_DN9001_c0_g2	NA	26	0	0	26	51	51	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9111_c0_g1(+)	icarus.TRINITY_DN9111_c0_g1	NA	77	0	0	77	146	145	0	0	0	1	0.0	0.0	0.00684932	0.00456621	33	32	1	0	0	0	0.03030303	0.0	0.01515152	0.01515152
polyommatus_icarus	TRINITY_DN9221_c0_g1(+)	icarus.TRINITY_DN9221_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN9418_c0_g1(+)	icarus.TRINITY_DN9418_c0_g1	NA	18	0	0	18	37	37	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9616_c0_g1(+)	icarus.TRINITY_DN9616_c0_g1	NA	220	0	0	220	428	428	0	0	0	0	0.0	0.0	0.0	0.0	88	88	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9667_c0_g1(+)	icarus.TRINITY_DN9667_c0_g1	NA	24	0	0	24	48	48	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9689_c0_g1(+)	icarus.TRINITY_DN9689_c0_g1	NA	52	0	0	52	96	96	0	0	0	0	0.0	0.0	0.0	0.0	20	19	1	0	0	0	0.05	0.0	0.025	0.025
polyommatus_icarus	TRINITY_DN9718_c0_g1(+)	icarus.TRINITY_DN9718_c0_g1	NA	96	0	0	96	180	179	1	0	0	0	0.00555556	0.0	0.00277778	0.00277778	29	28	1	0	0	0	0.03448276	0.0	0.01724138	0.01724138
polyommatus_icarus	TRINITY_DN9757_c0_g1(+)	icarus.TRINITY_DN9757_c0_g1	NA	68	0	0	68	130	130	0	0	0	0	0.0	0.0	0.0	0.0	31	30	0	0	1	0	0.03225806	0.03225806	0.01612903	0.02150537
polyommatus_icarus	TRINITY_DN9791_c0_g1(+)	icarus.TRINITY_DN9791_c0_g1	NA	4	0	0	4	7	7	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9842_c0_g1(+)	icarus.TRINITY_DN9842_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN9846_c0_g1(+)	icarus.TRINITY_DN9846_c0_g1	NA	180	0	0	180	345	345	0	0	0	0	0.0	0.0	0.0	0.0	78	78	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9858_c0_g1(+)	icarus.TRINITY_DN9858_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9877_c0_g1(+)	icarus.TRINITY_DN9877_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN9885_c0_g1(+)	icarus.TRINITY_DN9885_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9894_c0_g1(+)	icarus.TRINITY_DN9894_c0_g1	OG0002145	178	0	0	178	348	348	0	0	0	0	0.0	0.0	0.0	0.0	68	67	1	0	0	0	0.01470588	0.0	0.00735294	0.00735294
polyommatus_icarus	TRINITY_DN9980_c0_g1(+)	icarus.TRINITY_DN9980_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN9981_c0_g1(+)	icarus.TRINITY_DN9981_c0_g1	NA	61	0	0	61	115	115	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9983_c0_g1(+)	icarus.TRINITY_DN9983_c0_g1	NA	8	0	0	8	14	14	0	0	0	0	0.0	0.0	0.0	0.0	5	4	0	1	0	0	0.0	0.2	0.1	0.1
polyommatus_icarus	TRINITY_DN9995_c0_g1(+)	icarus.TRINITY_DN9995_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN9997_c0_g1(+)	icarus.TRINITY_DN9997_c0_g1	NA	49	0	0	49	91	91	0	0	0	0	0.0	0.0	0.0	0.0	26	24	1	0	1	0	0.07692308	0.03846154	0.03846154	0.0448718
polyommatus_icarus	TRINITY_DN10007_c0_g1(+)	icarus.TRINITY_DN10007_c0_g1	NA	126	0	0	126	229	229	0	0	0	0	0.0	0.0	0.0	0.0	62	61	1	0	0	0	0.01612903	0.0	0.00806452	0.00806452
polyommatus_icarus	TRINITY_DN10016_c0_g1(-)	icarus.TRINITY_DN10016_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10029_c0_g1(+)	icarus.TRINITY_DN10029_c0_g1	NA	97	0	0	97	193	193	0	0	0	0	0.0	0.0	0.0	0.0	36	36	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10042_c0_g1(+)	icarus.TRINITY_DN10042_c0_g1	NA	118	0	0	118	229	228	0	0	1	0	0.00436681	0.00436681	0.00218341	0.00291121	63	63	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10051_c0_g1(+)	icarus.TRINITY_DN10051_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN10054_c0_g1(-)	icarus.TRINITY_DN10054_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN10061_c0_g1(+)	icarus.TRINITY_DN10061_c0_g1	NA	318	0	0	318	611	611	0	0	0	0	0.0	0.0	0.0	0.0	162	162	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10085_c0_g1(+)	icarus.TRINITY_DN10085_c0_g1	NA	95	0	0	95	185	185	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10196_c0_g1(-)	icarus.TRINITY_DN10196_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN10274_c0_g1(+)	icarus.TRINITY_DN10274_c0_g1	NA	9	0	0	9	17	17	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10290_c0_g1(+)	icarus.TRINITY_DN10290_c0_g1	NA	166	0	0	166	327	327	0	0	0	0	0.0	0.0	0.0	0.0	83	83	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10316_c0_g1(+)	icarus.TRINITY_DN10316_c0_g1	NA	87	0	0	87	169	169	0	0	0	0	0.0	0.0	0.0	0.0	48	48	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10321_c0_g1(+)	icarus.TRINITY_DN10321_c0_g1	NA	206	0	0	206	398	398	0	0	0	0	0.0	0.0	0.0	0.0	76	76	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10327_c0_g1(+)	icarus.TRINITY_DN10327_c0_g1	NA	101	0	0	101	190	188	0	0	2	0	0.01052632	0.01052632	0.00526316	0.00701755	34	33	0	1	0	0	0.0	0.02941176	0.01470588	0.01470588
polyommatus_icarus	TRINITY_DN10358_c0_g2(+)	icarus.TRINITY_DN10358_c0_g2	OG0001847	174	0	0	174	321	320	0	1	0	0	0.0	0.00311526	0.00155763	0.00155763	74	72	1	1	0	0	0.01351351	0.01351351	0.01351351	0.01351351
polyommatus_icarus	TRINITY_DN10379_c0_g1(+)	icarus.TRINITY_DN10379_c0_g1	NA	60	0	0	60	115	115	0	0	0	0	0.0	0.0	0.0	0.0	28	27	1	0	0	0	0.03571429	0.0	0.01785714	0.01785714
polyommatus_icarus	TRINITY_DN10446_c0_g1(+)	icarus.TRINITY_DN10446_c0_g1	NA	33	0	0	33	61	60	0	1	0	0	0.0	0.01639344	0.00819672	0.00819672	8	8	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10459_c0_g1(+)	icarus.TRINITY_DN10459_c0_g1	NA	7	0	0	7	15	15	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10481_c0_g1(+)	icarus.TRINITY_DN10481_c0_g1	OG0001366	205	0	0	205	386	386	0	0	0	0	0.0	0.0	0.0	0.0	60	59	0	1	0	0	0.0	0.01666667	0.00833333	0.00833333
polyommatus_icarus	TRINITY_DN10494_c0_g1(+)	icarus.TRINITY_DN10494_c0_g1	NA	70	0	0	70	123	122	1	0	0	0	0.00813008	0.0	0.00406504	0.00406504	34	34	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10583_c0_g1(-)	icarus.TRINITY_DN10583_c0_g1	NA	82	0	1	81	152	151	0	0	1	0	0.00657895	0.00657895	0.00328947	0.00438596	63	63	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10619_c0_g1(+)	icarus.TRINITY_DN10619_c0_g1	NA	82	0	0	82	161	161	0	0	0	0	0.0	0.0	0.0	0.0	30	30	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10648_c0_g1(+)	icarus.TRINITY_DN10648_c0_g1	NA	11	0	0	11	18	16	0	0	0	2	0.0	0.0	0.11111111	0.07407407	6	6	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10663_c0_g1(-)	icarus.TRINITY_DN10663_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10695_c0_g1(+)	icarus.TRINITY_DN10695_c0_g1	NA	132	0	0	132	258	258	0	0	0	0	0.0	0.0	0.0	0.0	47	46	1	0	0	0	0.0212766	0.0	0.0106383	0.0106383
polyommatus_icarus	TRINITY_DN10708_c0_g1(+)	icarus.TRINITY_DN10708_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10714_c0_g1(+)	icarus.TRINITY_DN10714_c0_g1	NA	81	0	0	81	159	159	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10728_c0_g1(+)	icarus.TRINITY_DN10728_c0_g1	NA	83	0	0	83	167	167	0	0	0	0	0.0	0.0	0.0	0.0	18	18	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10742_c0_g1(+)	icarus.TRINITY_DN10742_c0_g1	NA	250	0	0	250	479	479	0	0	0	0	0.0	0.0	0.0	0.0	108	108	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10756_c0_g1(-)	icarus.TRINITY_DN10756_c0_g1	NA	5	0	0	5	11	11	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10760_c0_g1(+)	icarus.TRINITY_DN10760_c0_g1	OG0001521	177	0	0	177	338	338	0	0	0	0	0.0	0.0	0.0	0.0	67	65	1	0	1	0	0.02985075	0.01492537	0.01492537	0.01741293
polyommatus_icarus	TRINITY_DN10855_c0_g1(+)	icarus.TRINITY_DN10855_c0_g1	NA	54	0	0	54	111	111	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10905_c0_g1(+)	icarus.TRINITY_DN10905_c0_g1	NA	140	0	0	140	268	268	0	0	0	0	0.0	0.0	0.0	0.0	65	63	0	0	0	2	0.0	0.0	0.03076923	0.02051282
polyommatus_icarus	TRINITY_DN10918_c0_g1(+)	icarus.TRINITY_DN10918_c0_g1	NA	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10921_c0_g1(-)	icarus.TRINITY_DN10921_c0_g1	NA	2	0	0	2	5	5	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
polyommatus_icarus	TRINITY_DN10928_c0_g1(+)	icarus.TRINITY_DN10928_c0_g1	NA	152	0	0	152	291	291	0	0	0	0	0.0	0.0	0.0	0.0	69	68	0	1	0	0	0.0	0.01449275	0.00724638	0.00724638
polyommatus_icarus	TRINITY_DN10945_c0_g1(+)	icarus.TRINITY_DN10945_c0_g1	NA	215	0	0	215	413	413	0	0	0	0	0.0	0.0	0.0	0.0	92	92	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10948_c0_g2(+)	icarus.TRINITY_DN10948_c0_g2	OG0001911	170	0	0	170	322	322	0	0	0	0	0.0	0.0	0.0	0.0	64	62	0	0	2	0	0.03125	0.03125	0.015625	0.02083333
polyommatus_icarus	TRINITY_DN10969_c0_g1(+)	icarus.TRINITY_DN10969_c0_g1	NA	160	0	0	160	306	306	0	0	0	0	0.0	0.0	0.0	0.0	76	76	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10982_c0_g1(+)	icarus.TRINITY_DN10982_c0_g1	OG0001283	151	0	0	151	287	287	0	0	0	0	0.0	0.0	0.0	0.0	58	58	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10986_c0_g1(+)	icarus.TRINITY_DN10986_c0_g1	NA	112	0	0	112	207	207	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10989_c0_g1(+)	icarus.TRINITY_DN10989_c0_g1	NA	141	0	0	141	270	270	0	0	0	0	0.0	0.0	0.0	0.0	43	42	0	0	1	0	0.02325581	0.02325581	0.01162791	0.01550388
polyommatus_icarus	TRINITY_DN10991_c0_g1(+)	icarus.TRINITY_DN10991_c0_g1	OG0001440	179	0	0	179	347	345	1	0	1	0	0.00576369	0.00288184	0.00288184	0.00336215	60	60	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN10999_c0_g1(+)	icarus.TRINITY_DN10999_c0_g1	NA	224	0	0	224	432	432	0	0	0	0	0.0	0.0	0.0	0.0	82	81	0	1	0	0	0.0	0.01219512	0.00609756	0.00609756
polyommatus_icarus	TRINITY_DN11003_c0_g1(+)	icarus.TRINITY_DN11003_c0_g1	NA	31	0	0	31	51	51	0	0	0	0	0.0	0.0	0.0	0.0	22	21	0	0	1	0	0.04545455	0.04545455	0.02272727	0.03030303
polyommatus_icarus	TRINITY_DN11022_c0_g1(+)	icarus.TRINITY_DN11022_c0_g1	OG0001776	113	0	0	113	218	218	0	0	0	0	0.0	0.0	0.0	0.0	64	63	0	1	0	0	0.0	0.015625	0.0078125	0.0078125
polyommatus_icarus	TRINITY_DN11025_c0_g1(-)	icarus.TRINITY_DN11025_c0_g1	NA	37	0	1	36	60	56	0	1	3	0	0.05	0.06666667	0.03333333	0.04166666	9	9	0	0	0	0	0.0	0.0	0.0	0.0
