species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_CeAr_337	0_pi_CeAr_408	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_CeAr_337	4_pi_CeAr_408	4_pi_between	4_pi_total
celastrina_argiolus	TRINITY_DN286_c0_g1(+)	argiolus.TRINITY_DN286_c0_g1	NA	126	0	0	126	230	230	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN390_c0_g1(+)	argiolus.TRINITY_DN390_c0_g1	OG0001374	252	0	0	252	481	481	0	0	0	0	0.0	0.0	0.0	0.0	116	115	1	0	0	0	0.00862069	0.0	0.00431034	0.00431034
celastrina_argiolus	TRINITY_DN398_c0_g1(+)	argiolus.TRINITY_DN398_c0_g1	NA	394	0	0	394	751	750	1	0	0	0	0.00133156	0.0	0.00066578	0.00066578	129	129	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN466_c0_g1(+)	argiolus.TRINITY_DN466_c0_g1	NA	174	0	0	174	333	333	0	0	0	0	0.0	0.0	0.0	0.0	61	61	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN486_c0_g1(+)	argiolus.TRINITY_DN486_c0_g1	NA	88	0	0	88	166	166	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN945_c0_g1(+)	argiolus.TRINITY_DN945_c0_g1	NA	113	0	0	113	214	214	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN1057_c0_g1(+)	argiolus.TRINITY_DN1057_c0_g1	NA	9	0	0	9	16	16	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN1164_c0_g1(+)	argiolus.TRINITY_DN1164_c0_g1	NA	117	0	0	117	232	232	0	0	0	0	0.0	0.0	0.0	0.0	43	42	0	1	0	0	0.0	0.02325581	0.01162791	0.01162791
celastrina_argiolus	TRINITY_DN1275_c0_g1(+)	argiolus.TRINITY_DN1275_c0_g1	NA	119	0	0	119	227	227	0	0	0	0	0.0	0.0	0.0	0.0	48	47	0	1	0	0	0.0	0.02083333	0.01041667	0.01041667
celastrina_argiolus	TRINITY_DN1282_c0_g1(+)	argiolus.TRINITY_DN1282_c0_g1	NA	149	0	0	149	286	286	0	0	0	0	0.0	0.0	0.0	0.0	51	51	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN1311_c0_g1(+)	argiolus.TRINITY_DN1311_c0_g1	NA	75	0	0	75	140	140	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN1706_c0_g1(+)	argiolus.TRINITY_DN1706_c0_g1	NA	52	0	0	52	101	101	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN1745_c0_g1(+)	argiolus.TRINITY_DN1745_c0_g1	NA	92	0	0	92	168	168	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN1939_c0_g1(+)	argiolus.TRINITY_DN1939_c0_g1	NA	140	0	0	140	271	271	0	0	0	0	0.0	0.0	0.0	0.0	64	64	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2223_c0_g1(+)	argiolus.TRINITY_DN2223_c0_g1	NA	297	0	0	297	565	565	0	0	0	0	0.0	0.0	0.0	0.0	128	128	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2435_c0_g1(+)	argiolus.TRINITY_DN2435_c0_g1	NA	33	0	0	33	63	63	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2550_c0_g1(+)	argiolus.TRINITY_DN2550_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
celastrina_argiolus	TRINITY_DN2610_c0_g1(+)	argiolus.TRINITY_DN2610_c0_g1	NA	343	0	0	343	647	646	0	1	0	0	0.0	0.0015456	0.0007728	0.0007728	164	164	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2639_c0_g1(+)	argiolus.TRINITY_DN2639_c0_g1	NA	69	0	0	69	132	132	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2678_c0_g1(+)	argiolus.TRINITY_DN2678_c0_g1	NA	136	0	0	136	261	261	0	0	0	0	0.0	0.0	0.0	0.0	37	37	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2736_c0_g1(+)	argiolus.TRINITY_DN2736_c0_g1	NA	93	0	0	93	183	183	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2744_c0_g1(+)	argiolus.TRINITY_DN2744_c0_g1	NA	126	0	0	126	240	240	0	0	0	0	0.0	0.0	0.0	0.0	46	46	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2777_c0_g1(+)	argiolus.TRINITY_DN2777_c0_g1	NA	73	0	0	73	147	147	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2850_c0_g1(+)	argiolus.TRINITY_DN2850_c0_g1	NA	231	0	0	231	450	450	0	0	0	0	0.0	0.0	0.0	0.0	84	84	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2862_c0_g1(+)	argiolus.TRINITY_DN2862_c0_g1	NA	57	0	0	57	111	111	0	0	0	0	0.0	0.0	0.0	0.0	30	30	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2875_c0_g1(+)	argiolus.TRINITY_DN2875_c0_g1	NA	93	0	0	93	182	182	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2881_c0_g1(+)	argiolus.TRINITY_DN2881_c0_g1	NA	98	0	0	98	178	178	0	0	0	0	0.0	0.0	0.0	0.0	39	39	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2915_c0_g1(+)	argiolus.TRINITY_DN2915_c0_g1	NA	178	0	0	178	344	344	0	0	0	0	0.0	0.0	0.0	0.0	66	66	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2948_c0_g1(+)	argiolus.TRINITY_DN2948_c0_g1	NA	264	0	0	264	508	507	0	0	1	0	0.0019685	0.0019685	0.00098425	0.00131233	86	86	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN2949_c0_g1(+)	argiolus.TRINITY_DN2949_c0_g1	NA	322	0	0	322	614	613	0	0	1	0	0.00162866	0.00162866	0.00081433	0.00108577	101	101	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN3070_c0_g1(+)	argiolus.TRINITY_DN3070_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN3093_c0_g1(+)	argiolus.TRINITY_DN3093_c0_g1	NA	48	0	0	48	94	94	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN3099_c0_g1(+)	argiolus.TRINITY_DN3099_c0_g1	NA	293	0	0	293	565	565	0	0	0	0	0.0	0.0	0.0	0.0	124	123	0	1	0	0	0.0	0.00806452	0.00403226	0.00403226
celastrina_argiolus	TRINITY_DN3127_c0_g1(+)	argiolus.TRINITY_DN3127_c0_g1	NA	45	0	0	45	84	84	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN3568_c0_g1(+)	argiolus.TRINITY_DN3568_c0_g1	NA	87	0	0	87	161	160	0	1	0	0	0.0	0.00621118	0.00310559	0.00310559	29	28	0	1	0	0	0.0	0.03448276	0.01724138	0.01724138
celastrina_argiolus	TRINITY_DN3776_c0_g1(+)	argiolus.TRINITY_DN3776_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN3834_c0_g1(+)	argiolus.TRINITY_DN3834_c0_g1	NA	117	0	0	117	219	219	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN3863_c0_g1(+)	argiolus.TRINITY_DN3863_c0_g1	NA	122	0	0	122	240	240	0	0	0	0	0.0	0.0	0.0	0.0	43	43	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN3990_c0_g1(+)	argiolus.TRINITY_DN3990_c0_g1	NA	230	0	0	230	444	444	0	0	0	0	0.0	0.0	0.0	0.0	75	75	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN4068_c0_g1(+)	argiolus.TRINITY_DN4068_c0_g1	NA	46	0	0	46	89	89	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN4218_c0_g1(+)	argiolus.TRINITY_DN4218_c0_g1	NA	58	0	0	58	114	114	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN4322_c0_g1(-)	argiolus.TRINITY_DN4322_c0_g1	NA	51	0	0	51	103	103	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN4477_c0_g1(+)	argiolus.TRINITY_DN4477_c0_g1	NA	13	0	0	13	24	24	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN4500_c0_g1(+)	argiolus.TRINITY_DN4500_c0_g1	NA	233	0	0	233	458	458	0	0	0	0	0.0	0.0	0.0	0.0	103	103	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN4837_c0_g1(+)	argiolus.TRINITY_DN4837_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
celastrina_argiolus	TRINITY_DN5000_c0_g1(+)	argiolus.TRINITY_DN5000_c0_g1	NA	82	0	0	82	151	151	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5091_c0_g1(+)	argiolus.TRINITY_DN5091_c0_g1	NA	2	0	0	2	3	3	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5196_c0_g1(+)	argiolus.TRINITY_DN5196_c0_g1	NA	118	0	0	118	225	225	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5292_c0_g1(+)	argiolus.TRINITY_DN5292_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5387_c0_g1(+)	argiolus.TRINITY_DN5387_c0_g1	NA	312	0	0	312	614	614	0	0	0	0	0.0	0.0	0.0	0.0	146	145	0	0	1	0	0.00684932	0.00684932	0.00342466	0.00456621
celastrina_argiolus	TRINITY_DN5428_c0_g1(+)	argiolus.TRINITY_DN5428_c0_g1	NA	250	0	0	250	484	483	1	0	0	0	0.00206612	0.0	0.00103306	0.00103306	83	83	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5469_c0_g1(+)	argiolus.TRINITY_DN5469_c0_g1	NA	363	0	0	363	701	701	0	0	0	0	0.0	0.0	0.0	0.0	131	131	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5549_c0_g1(+)	argiolus.TRINITY_DN5549_c0_g1	OG0001293	160	0	0	160	309	309	0	0	0	0	0.0	0.0	0.0	0.0	81	81	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5746_c0_g1(+)	argiolus.TRINITY_DN5746_c0_g1	NA	147	0	0	147	280	280	0	0	0	0	0.0	0.0	0.0	0.0	52	52	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5759_c0_g1(+)	argiolus.TRINITY_DN5759_c0_g1	NA	1	0	0	1	3	3	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
celastrina_argiolus	TRINITY_DN5870_c0_g1(+)	argiolus.TRINITY_DN5870_c0_g1	NA	11	0	0	11	22	22	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN5946_c0_g1(+)	argiolus.TRINITY_DN5946_c0_g1	NA	56	0	0	56	102	102	0	0	0	0	0.0	0.0	0.0	0.0	18	17	0	0	0	1	0.0	0.0	0.05555556	0.03703704
celastrina_argiolus	TRINITY_DN6016_c0_g1(+)	argiolus.TRINITY_DN6016_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6152_c0_g1(-)	argiolus.TRINITY_DN6152_c0_g1	NA	49	0	0	49	98	96	0	2	0	0	0.0	0.02040816	0.01020408	0.01020408	23	23	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6234_c0_g1(+)	argiolus.TRINITY_DN6234_c0_g1	OG0002145	178	0	0	178	350	350	0	0	0	0	0.0	0.0	0.0	0.0	68	68	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6249_c0_g1(+)	argiolus.TRINITY_DN6249_c0_g1	OG0001878	275	0	0	275	533	533	0	0	0	0	0.0	0.0	0.0	0.0	112	111	1	0	0	0	0.00892857	0.0	0.00446429	0.00446429
celastrina_argiolus	TRINITY_DN6291_c0_g2(+)	argiolus.TRINITY_DN6291_c0_g2	NA	21	0	0	21	38	38	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6425_c0_g1(+)	argiolus.TRINITY_DN6425_c0_g1	NA	229	0	0	229	441	440	1	0	0	0	0.00226757	0.0	0.00113379	0.00113379	75	75	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6444_c0_g1(+)	argiolus.TRINITY_DN6444_c0_g1	NA	10	0	0	10	19	19	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6459_c0_g1(+)	argiolus.TRINITY_DN6459_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
celastrina_argiolus	TRINITY_DN6487_c0_g1(+)	argiolus.TRINITY_DN6487_c0_g1	NA	178	0	0	178	339	338	1	0	0	0	0.00294985	0.0	0.00147493	0.00147493	61	61	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6492_c0_g1(+)	argiolus.TRINITY_DN6492_c0_g1	OG0001504	167	0	0	167	333	333	0	0	0	0	0.0	0.0	0.0	0.0	61	61	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6508_c0_g1(+)	argiolus.TRINITY_DN6508_c0_g1	NA	325	0	0	325	639	638	0	1	0	0	0.0	0.00156495	0.00078247	0.00078247	130	130	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6552_c0_g1(+)	argiolus.TRINITY_DN6552_c0_g1	NA	69	0	0	69	131	131	0	0	0	0	0.0	0.0	0.0	0.0	18	18	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6573_c0_g1(+)	argiolus.TRINITY_DN6573_c0_g1	NA	121	0	0	121	224	224	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6588_c0_g1(+)	argiolus.TRINITY_DN6588_c0_g1	OG0001491	154	0	0	154	290	290	0	0	0	0	0.0	0.0	0.0	0.0	64	64	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6597_c0_g1(+)	argiolus.TRINITY_DN6597_c0_g1	OG0001806	125	0	0	125	239	239	0	0	0	0	0.0	0.0	0.0	0.0	62	62	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6630_c0_g1(+)	argiolus.TRINITY_DN6630_c0_g1	NA	128	0	0	128	234	234	0	0	0	0	0.0	0.0	0.0	0.0	48	47	0	1	0	0	0.0	0.02083333	0.01041667	0.01041667
celastrina_argiolus	TRINITY_DN6663_c0_g1(+)	argiolus.TRINITY_DN6663_c0_g1	NA	3	0	0	3	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6704_c0_g1(+)	argiolus.TRINITY_DN6704_c0_g1	NA	78	0	0	78	154	154	0	0	0	0	0.0	0.0	0.0	0.0	46	46	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6720_c0_g1(+)	argiolus.TRINITY_DN6720_c0_g1	NA	194	0	0	194	373	373	0	0	0	0	0.0	0.0	0.0	0.0	81	80	1	0	0	0	0.01234568	0.0	0.00617284	0.00617284
celastrina_argiolus	TRINITY_DN6740_c0_g1(+)	argiolus.TRINITY_DN6740_c0_g1	OG0003443	366	0	0	366	707	707	0	0	0	0	0.0	0.0	0.0	0.0	122	122	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6744_c0_g1(+)	argiolus.TRINITY_DN6744_c0_g1	NA	161	0	0	161	306	305	1	0	0	0	0.00326797	0.0	0.00163399	0.00163399	65	64	1	0	0	0	0.01538462	0.0	0.00769231	0.00769231
celastrina_argiolus	TRINITY_DN6753_c0_g1(+)	argiolus.TRINITY_DN6753_c0_g1	OG0001830	105	0	0	105	202	202	0	0	0	0	0.0	0.0	0.0	0.0	43	43	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6760_c0_g1(+)	argiolus.TRINITY_DN6760_c0_g1	NA	129	0	0	129	249	249	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6797_c0_g1(+)	argiolus.TRINITY_DN6797_c0_g1	NA	104	0	0	104	194	194	0	0	0	0	0.0	0.0	0.0	0.0	51	50	0	1	0	0	0.0	0.01960784	0.00980392	0.00980392
celastrina_argiolus	TRINITY_DN6810_c0_g1(+)	argiolus.TRINITY_DN6810_c0_g1	NA	85	0	0	85	171	170	0	1	0	0	0.0	0.00584795	0.00292398	0.00292398	27	27	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6843_c0_g1(+)	argiolus.TRINITY_DN6843_c0_g1	OG0002380	180	0	0	180	340	340	0	0	0	0	0.0	0.0	0.0	0.0	72	72	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6861_c0_g1(+)	argiolus.TRINITY_DN6861_c0_g1	NA	140	0	0	140	277	277	0	0	0	0	0.0	0.0	0.0	0.0	48	48	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN6868_c0_g1(+)	argiolus.TRINITY_DN6868_c0_g1	NA	250	0	0	250	475	475	0	0	0	0	0.0	0.0	0.0	0.0	108	105	0	3	0	0	0.0	0.02777778	0.01388889	0.01388889
celastrina_argiolus	TRINITY_DN6872_c0_g1(+)	argiolus.TRINITY_DN6872_c0_g1	NA	169	0	0	169	325	325	0	0	0	0	0.0	0.0	0.0	0.0	87	86	0	0	1	0	0.01149425	0.01149425	0.00574713	0.00766284
celastrina_argiolus	TRINITY_DN6928_c0_g1(-)	argiolus.TRINITY_DN6928_c0_g1	NA	69	0	1	68	117	113	0	2	2	0	0.01709402	0.03418803	0.01709402	0.01994302	24	22	0	0	2	0	0.08333333	0.08333333	0.04166667	0.05555556
celastrina_argiolus	TRINITY_DN6952_c0_g1(+)	argiolus.TRINITY_DN6952_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
celastrina_argiolus	TRINITY_DN6973_c0_g1(+)	argiolus.TRINITY_DN6973_c0_g1	NA	361	0	0	361	707	707	0	0	0	0	0.0	0.0	0.0	0.0	166	166	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7008_c0_g1(+)	argiolus.TRINITY_DN7008_c0_g1	NA	201	0	0	201	383	383	0	0	0	0	0.0	0.0	0.0	0.0	79	78	0	1	0	0	0.0	0.01265823	0.00632911	0.00632911
celastrina_argiolus	TRINITY_DN7021_c0_g1(+)	argiolus.TRINITY_DN7021_c0_g1	NA	80	0	0	80	154	154	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7026_c0_g1(+)	argiolus.TRINITY_DN7026_c0_g1	NA	236	0	0	236	453	452	0	1	0	0	0.0	0.00220751	0.00110375	0.00110375	92	92	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7052_c0_g1(+)	argiolus.TRINITY_DN7052_c0_g1	NA	333	0	0	333	646	646	0	0	0	0	0.0	0.0	0.0	0.0	140	140	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7054_c0_g1(+)	argiolus.TRINITY_DN7054_c0_g1	NA	186	0	0	186	350	350	0	0	0	0	0.0	0.0	0.0	0.0	71	71	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7074_c0_g1(+)	argiolus.TRINITY_DN7074_c0_g1	NA	134	0	0	134	265	265	0	0	0	0	0.0	0.0	0.0	0.0	60	60	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7076_c0_g1(+)	argiolus.TRINITY_DN7076_c0_g1	NA	250	0	0	250	480	480	0	0	0	0	0.0	0.0	0.0	0.0	92	92	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7082_c0_g1(-)	argiolus.TRINITY_DN7082_c0_g1	NA	28	0	0	28	49	48	0	0	1	0	0.02040816	0.02040816	0.01020408	0.01360544	6	6	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7087_c0_g1(+)	argiolus.TRINITY_DN7087_c0_g1	NA	61	0	0	61	122	122	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7089_c0_g1(+)	argiolus.TRINITY_DN7089_c0_g1	NA	206	0	0	206	404	404	0	0	0	0	0.0	0.0	0.0	0.0	77	77	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7096_c0_g1(+)	argiolus.TRINITY_DN7096_c0_g1	OG0001662	377	0	0	377	738	738	0	0	0	0	0.0	0.0	0.0	0.0	187	186	1	0	0	0	0.00534759	0.0	0.0026738	0.0026738
celastrina_argiolus	TRINITY_DN7107_c0_g1(+)	argiolus.TRINITY_DN7107_c0_g1	NA	23	0	0	23	44	44	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN7178_c0_g1(+)	argiolus.TRINITY_DN7178_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
