species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_CaAl_341	0_pi_CaAl_440	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_CaAl_341	4_pi_CaAl_440	4_pi_between	4_pi_total
carcharodus_alceae	TRINITY_DN5330_c0_g1(+)	alceae.TRINITY_DN5330_c0_g1	NA	192	0	0	192	371	370	0	1	0	0	0.0	0.00269542	0.00134771	0.00134771	76	76	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN5461_c0_g1(-)	alceae.TRINITY_DN5461_c0_g1	NA	30	0	0	30	54	54	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN5774_c0_g1(-)	alceae.TRINITY_DN5774_c0_g1	NA	11	0	0	11	21	21	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN5780_c0_g1(+)	alceae.TRINITY_DN5780_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN6077_c0_g1(-)	alceae.TRINITY_DN6077_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN6252_c0_g1(-)	alceae.TRINITY_DN6252_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN6371_c0_g1(+)	alceae.TRINITY_DN6371_c0_g1	NA	12	0	0	12	23	22	1	0	0	0	0.04347826	0.0	0.02173913	0.02173913	6	6	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN6425_c0_g1(-)	alceae.TRINITY_DN6425_c0_g1	NA	37	0	0	37	68	68	0	0	0	0	0.0	0.0	0.0	0.0	19	18	0	0	0	1	0.0	0.0	0.05263158	0.03508772
carcharodus_alceae	TRINITY_DN6459_c0_g1(-)	alceae.TRINITY_DN6459_c0_g1	NA	10	0	0	10	18	18	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN7244_c0_g1(+)	alceae.TRINITY_DN7244_c0_g1	NA	44	0	0	44	87	87	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN8319_c0_g1(+)	alceae.TRINITY_DN8319_c0_g1	NA	38	0	0	38	73	73	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN8818_c0_g1(-)	alceae.TRINITY_DN8818_c0_g1	NA	38	0	0	38	74	74	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN9061_c0_g1(-)	alceae.TRINITY_DN9061_c0_g1	NA	53	0	0	53	101	101	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN9222_c0_g1(+)	alceae.TRINITY_DN9222_c0_g1	OG0001677	168	0	0	168	321	321	0	0	0	0	0.0	0.0	0.0	0.0	64	61	0	3	0	0	0.0	0.046875	0.0234375	0.0234375
carcharodus_alceae	TRINITY_DN9454_c0_g1(+)	alceae.TRINITY_DN9454_c0_g1	NA	7	0	1	6	11	10	0	1	0	0	0.0	0.09090909	0.04545455	0.04545455	2	2	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN9470_c0_g1(-)	alceae.TRINITY_DN9470_c0_g1	NA	5	0	0	5	11	11	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN9753_c0_g1(-)	alceae.TRINITY_DN9753_c0_g1	NA	7	0	0	7	11	11	0	0	0	0	0.0	0.0	0.0	0.0	5	4	0	0	1	0	0.2	0.2	0.1	0.13333333
carcharodus_alceae	TRINITY_DN9777_c0_g1(+)	alceae.TRINITY_DN9777_c0_g1	NA	62	0	0	62	103	98	0	4	0	1	0.0	0.03883495	0.02912621	0.02588996	19	16	0	3	0	0	0.0	0.15789474	0.07894737	0.07894737
carcharodus_alceae	TRINITY_DN9847_c0_g1(+)	alceae.TRINITY_DN9847_c0_g1	OG0002449	524	0	0	524	999	999	0	0	0	0	0.0	0.0	0.0	0.0	183	183	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN9891_c0_g1(+)	alceae.TRINITY_DN9891_c0_g1	NA	276	0	0	276	528	528	0	0	0	0	0.0	0.0	0.0	0.0	149	149	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10106_c0_g1(+)	alceae.TRINITY_DN10106_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN10137_c0_g1(+)	alceae.TRINITY_DN10137_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10253_c0_g1(+)	alceae.TRINITY_DN10253_c0_g1	NA	49	0	0	49	97	96	1	0	0	0	0.01030928	0.0	0.00515464	0.00515464	27	27	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10397_c0_g1(+)	alceae.TRINITY_DN10397_c0_g1	NA	19	0	0	19	38	38	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10399_c0_g2(+)	alceae.TRINITY_DN10399_c0_g2	NA	10	0	0	10	19	19	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10634_c0_g1(+)	alceae.TRINITY_DN10634_c0_g1	OG0001281	182	0	0	182	354	354	0	0	0	0	0.0	0.0	0.0	0.0	80	78	2	0	0	0	0.025	0.0	0.0125	0.0125
carcharodus_alceae	TRINITY_DN10641_c0_g1(+)	alceae.TRINITY_DN10641_c0_g1	NA	80	0	0	80	158	158	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10717_c0_g1(-)	alceae.TRINITY_DN10717_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN10733_c0_g1(-)	alceae.TRINITY_DN10733_c0_g1	NA	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10740_c0_g1(-)	alceae.TRINITY_DN10740_c0_g1	NA	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10778_c0_g1(+)	alceae.TRINITY_DN10778_c0_g1	NA	66	0	0	66	123	123	0	0	0	0	0.0	0.0	0.0	0.0	34	34	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10785_c0_g1(+)	alceae.TRINITY_DN10785_c0_g1	NA	40	0	0	40	74	73	1	0	0	0	0.01351351	0.0	0.00675676	0.00675676	16	16	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN10977_c0_g1(-)	alceae.TRINITY_DN10977_c0_g1	NA	1	0	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN11264_c0_g1(-)	alceae.TRINITY_DN11264_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN11269_c0_g1(+)	alceae.TRINITY_DN11269_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN11390_c0_g1(+)	alceae.TRINITY_DN11390_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN11792_c0_g1(+)	alceae.TRINITY_DN11792_c0_g1	NA	246	1	1	244	468	468	0	0	0	0	0.0	0.0	0.0	0.0	89	89	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN11793_c0_g1(+)	alceae.TRINITY_DN11793_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN11857_c0_g1(-)	alceae.TRINITY_DN11857_c0_g1	NA	49	1	0	48	88	88	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN12094_c0_g1(+)	alceae.TRINITY_DN12094_c0_g1	NA	89	0	0	89	177	177	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN12130_c0_g1(-)	alceae.TRINITY_DN12130_c0_g1	NA	35	0	0	35	55	55	0	0	0	0	0.0	0.0	0.0	0.0	13	11	0	0	2	0	0.15384615	0.15384615	0.07692308	0.1025641
carcharodus_alceae	TRINITY_DN12141_c0_g1(-)	alceae.TRINITY_DN12141_c0_g1	NA	59	0	0	59	112	112	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN12175_c0_g1(-)	alceae.TRINITY_DN12175_c0_g1	NA	24	0	0	24	46	46	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN12283_c0_g1(+)	alceae.TRINITY_DN12283_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN12291_c0_g1(+)	alceae.TRINITY_DN12291_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN12334_c0_g1(+)	alceae.TRINITY_DN12334_c0_g1	NA	184	0	0	184	351	351	0	0	0	0	0.0	0.0	0.0	0.0	75	75	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN12398_c0_g1(+)	alceae.TRINITY_DN12398_c0_g1	OG0001292	118	0	0	118	229	229	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN12759_c0_g1(+)	alceae.TRINITY_DN12759_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN12942_c0_g1(+)	alceae.TRINITY_DN12942_c0_g1	NA	69	0	0	69	129	129	0	0	0	0	0.0	0.0	0.0	0.0	29	28	1	0	0	0	0.03448276	0.0	0.01724138	0.01724138
carcharodus_alceae	TRINITY_DN13074_c0_g1(-)	alceae.TRINITY_DN13074_c0_g1	NA	52	0	0	52	99	98	0	1	0	0	0.0	0.01010101	0.00505051	0.00505051	23	23	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN13157_c0_g1(+)	alceae.TRINITY_DN13157_c0_g1	NA	70	0	0	70	138	138	0	0	0	0	0.0	0.0	0.0	0.0	33	32	0	1	0	0	0.0	0.03030303	0.01515152	0.01515152
carcharodus_alceae	TRINITY_DN13230_c0_g1(+)	alceae.TRINITY_DN13230_c0_g1	NA	76	0	0	76	143	143	0	0	0	0	0.0	0.0	0.0	0.0	34	33	1	0	0	0	0.02941176	0.0	0.01470588	0.01470588
carcharodus_alceae	TRINITY_DN13348_c0_g1(+)	alceae.TRINITY_DN13348_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN13441_c0_g1(-)	alceae.TRINITY_DN13441_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN13457_c0_g1(+)	alceae.TRINITY_DN13457_c0_g1	OG0002380	179	0	0	179	345	344	1	0	0	0	0.00289855	0.0	0.00144928	0.00144928	60	60	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN13569_c0_g1(-)	alceae.TRINITY_DN13569_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN13691_c0_g1(+)	alceae.TRINITY_DN13691_c0_g1	NA	99	0	0	99	183	183	0	0	0	0	0.0	0.0	0.0	0.0	50	49	0	0	1	0	0.02	0.02	0.01	0.01333333
carcharodus_alceae	TRINITY_DN13797_c0_g1(+)	alceae.TRINITY_DN13797_c0_g1	NA	94	0	0	94	185	185	0	0	0	0	0.0	0.0	0.0	0.0	46	46	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN13824_c1_g1(+)	alceae.TRINITY_DN13824_c1_g1	NA	121	0	0	121	231	231	0	0	0	0	0.0	0.0	0.0	0.0	61	61	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN13859_c0_g1(+)	alceae.TRINITY_DN13859_c0_g1	NA	96	0	0	96	181	181	0	0	0	0	0.0	0.0	0.0	0.0	33	31	1	1	0	0	0.03030303	0.03030303	0.03030303	0.03030303
carcharodus_alceae	TRINITY_DN14028_c0_g1(+)	alceae.TRINITY_DN14028_c0_g1	NA	233	0	0	233	444	444	0	0	0	0	0.0	0.0	0.0	0.0	106	105	0	0	1	0	0.00943396	0.00943396	0.00471698	0.00628931
carcharodus_alceae	TRINITY_DN14104_c0_g1(+)	alceae.TRINITY_DN14104_c0_g1	NA	57	0	0	57	107	107	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14151_c0_g1(-)	alceae.TRINITY_DN14151_c0_g1	NA	18	0	0	18	35	35	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14153_c0_g1(-)	alceae.TRINITY_DN14153_c0_g1	NA	25	0	1	24	43	42	0	0	1	0	0.02325581	0.02325581	0.01162791	0.01550388	15	13	2	0	0	0	0.13333333	0.0	0.06666667	0.06666667
carcharodus_alceae	TRINITY_DN14225_c0_g1(+)	alceae.TRINITY_DN14225_c0_g1	NA	163	0	0	163	308	307	0	1	0	0	0.0	0.00324675	0.00162338	0.00162338	71	70	1	0	0	0	0.01408451	0.0	0.00704225	0.00704225
carcharodus_alceae	TRINITY_DN14290_c0_g1(-)	alceae.TRINITY_DN14290_c0_g1	NA	2	0	0	2	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14304_c0_g1(+)	alceae.TRINITY_DN14304_c0_g1	NA	105	0	0	105	202	202	0	0	0	0	0.0	0.0	0.0	0.0	36	36	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14334_c0_g1(+)	alceae.TRINITY_DN14334_c0_g1	NA	107	0	0	107	191	189	2	0	0	0	0.0104712	0.0	0.0052356	0.0052356	38	38	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14336_c0_g1(+)	alceae.TRINITY_DN14336_c0_g1	NA	61	0	0	61	116	116	0	0	0	0	0.0	0.0	0.0	0.0	20	19	0	1	0	0	0.0	0.05	0.025	0.025
carcharodus_alceae	TRINITY_DN14356_c0_g1(-)	alceae.TRINITY_DN14356_c0_g1	NA	5	0	0	5	11	11	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14377_c0_g1(+)	alceae.TRINITY_DN14377_c0_g1	NA	22	0	0	22	37	37	0	0	0	0	0.0	0.0	0.0	0.0	8	6	0	0	2	0	0.25	0.25	0.125	0.16666667
carcharodus_alceae	TRINITY_DN14395_c0_g1(+)	alceae.TRINITY_DN14395_c0_g1	NA	91	0	0	91	177	177	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14530_c0_g1(+)	alceae.TRINITY_DN14530_c0_g1	NA	57	0	0	57	112	112	0	0	0	0	0.0	0.0	0.0	0.0	22	21	0	0	0	1	0.0	0.0	0.04545455	0.03030303
carcharodus_alceae	TRINITY_DN14558_c0_g1(+)	alceae.TRINITY_DN14558_c0_g1	NA	24	0	0	24	47	47	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14784_c0_g1(-)	alceae.TRINITY_DN14784_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14836_c0_g1(-)	alceae.TRINITY_DN14836_c0_g1	NA	37	0	0	37	70	70	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14869_c0_g1(-)	alceae.TRINITY_DN14869_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN14882_c0_g2(+)	alceae.TRINITY_DN14882_c0_g2	NA	80	0	0	80	161	161	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN14902_c0_g1(+)	alceae.TRINITY_DN14902_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN14972_c0_g1(+)	alceae.TRINITY_DN14972_c0_g1	NA	41	0	0	41	74	74	0	0	0	0	0.0	0.0	0.0	0.0	17	16	0	0	0	1	0.0	0.0	0.05882353	0.03921569
carcharodus_alceae	TRINITY_DN15034_c0_g1(+)	alceae.TRINITY_DN15034_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15050_c0_g1(+)	alceae.TRINITY_DN15050_c0_g1	NA	118	0	0	118	228	228	0	0	0	0	0.0	0.0	0.0	0.0	64	63	1	0	0	0	0.015625	0.0	0.0078125	0.0078125
carcharodus_alceae	TRINITY_DN15100_c0_g1(-)	alceae.TRINITY_DN15100_c0_g1	NA	55	0	0	55	102	99	1	2	0	0	0.00980392	0.01960784	0.01470588	0.01470588	16	15	0	0	1	0	0.0625	0.0625	0.03125	0.04166667
carcharodus_alceae	TRINITY_DN15194_c0_g1(+)	alceae.TRINITY_DN15194_c0_g1	NA	57	0	0	57	108	107	0	1	0	0	0.0	0.00925926	0.00462963	0.00462963	31	31	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15238_c0_g1(+)	alceae.TRINITY_DN15238_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15252_c0_g1(+)	alceae.TRINITY_DN15252_c0_g1	NA	13	0	0	13	26	26	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15280_c0_g1(+)	alceae.TRINITY_DN15280_c0_g1	NA	104	0	0	104	204	204	0	0	0	0	0.0	0.0	0.0	0.0	47	46	0	1	0	0	0.0	0.0212766	0.0106383	0.0106383
carcharodus_alceae	TRINITY_DN15331_c0_g1(+)	alceae.TRINITY_DN15331_c0_g1	NA	4	0	0	4	9	9	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN15350_c0_g1(+)	alceae.TRINITY_DN15350_c0_g1	NA	154	0	0	154	293	293	0	0	0	0	0.0	0.0	0.0	0.0	86	84	2	0	0	0	0.02325581	0.0	0.01162791	0.01162791
carcharodus_alceae	TRINITY_DN15386_c0_g1(+)	alceae.TRINITY_DN15386_c0_g1	NA	15	0	0	15	30	30	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15393_c0_g1(+)	alceae.TRINITY_DN15393_c0_g1	NA	105	0	0	105	200	197	0	1	0	2	0.0	0.005	0.0125	0.00916667	63	59	0	2	0	2	0.0	0.03174603	0.04761905	0.03703704
carcharodus_alceae	TRINITY_DN15435_c0_g1(+)	alceae.TRINITY_DN15435_c0_g1	NA	18	0	0	18	34	32	0	0	2	0	0.05882353	0.05882353	0.02941176	0.03921568	7	7	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15437_c0_g1(+)	alceae.TRINITY_DN15437_c0_g1	NA	15	0	0	15	28	28	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15617_c0_g1(+)	alceae.TRINITY_DN15617_c0_g1	OG0003093	596	0	0	596	1167	1167	0	0	0	0	0.0	0.0	0.0	0.0	273	271	0	2	0	0	0.0	0.00732601	0.003663	0.003663
carcharodus_alceae	TRINITY_DN15634_c0_g1(-)	alceae.TRINITY_DN15634_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15640_c0_g1(+)	alceae.TRINITY_DN15640_c0_g1	NA	89	0	0	89	171	171	0	0	0	0	0.0	0.0	0.0	0.0	36	36	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15650_c0_g1(+)	alceae.TRINITY_DN15650_c0_g1	NA	106	0	0	106	198	197	0	0	0	1	0.0	0.0	0.00505051	0.00336701	57	57	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15676_c2_g1(-)	alceae.TRINITY_DN15676_c2_g1	NA	5	0	0	5	7	6	0	0	1	0	0.14285714	0.14285714	0.07142857	0.09523809	1	0	0	0	1	0	1.0	1.0	0.5	0.66666667
carcharodus_alceae	TRINITY_DN15678_c0_g1(+)	alceae.TRINITY_DN15678_c0_g1	NA	127	0	0	127	241	241	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN15706_c0_g1(-)	alceae.TRINITY_DN15706_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN15797_c0_g1(+)	alceae.TRINITY_DN15797_c0_g1	NA	128	0	0	128	247	247	0	0	0	0	0.0	0.0	0.0	0.0	59	58	0	0	0	1	0.0	0.0	0.01694915	0.01129943
carcharodus_alceae	TRINITY_DN15813_c0_g1(+)	alceae.TRINITY_DN15813_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN15834_c0_g1(+)	alceae.TRINITY_DN15834_c0_g1	NA	3	0	0	3	5	5	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
